File_name,Source,Variance(value),SE
X_apo.ENSG00000001036.13.hsq,V(G)/Vp,0.034664,0.047774
X_apo.ENSG00000001167.14.hsq,V(G)/Vp,0.107316,0.063123
X_apo.ENSG00000001461.16.hsq,V(G)/Vp,0.074676,0.063313
X_apo.ENSG00000001629.9.hsq,V(G)/Vp,0.069905,0.062335
X_apo.ENSG00000001631.15.hsq,V(G)/Vp,0.118398,0.066449
X_apo.ENSG00000002016.17.hsq,V(G)/Vp,0.072478,0.075219
X_apo.ENSG00000002330.13.hsq,V(G)/Vp,0.021473,0.036373
X_apo.ENSG00000002822.15.hsq,V(G)/Vp,0.018913,0.050775
X_apo.ENSG00000003056.7.hsq,V(G)/Vp,0.124173,0.064094
X_apo.ENSG00000003393.14.hsq,V(G)/Vp,0.107367,0.070280
X_apo.ENSG00000004139.13.hsq,V(G)/Vp,0.207976,0.081547
X_apo.ENSG00000004142.11.hsq,V(G)/Vp,0.074278,0.058274
X_apo.ENSG00000004455.16.hsq,V(G)/Vp,0.000001,0.061785
X_apo.ENSG00000004487.15.hsq,V(G)/Vp,0.093108,0.064086
X_apo.ENSG00000004534.14.hsq,V(G)/Vp,0.128093,0.072368
X_apo.ENSG00000004766.15.hsq,V(G)/Vp,0.111724,0.062157
X_apo.ENSG00000004779.9.hsq,V(G)/Vp,0.070790,0.056902
X_apo.ENSG00000004864.13.hsq,V(G)/Vp,0.104693,0.065447
X_apo.ENSG00000004897.11.hsq,V(G)/Vp,0.001255,0.045380
X_apo.ENSG00000004975.11.hsq,V(G)/Vp,0.106947,0.070860
X_apo.ENSG00000005059.15.hsq,V(G)/Vp,0.100870,0.058210
X_apo.ENSG00000005100.12.hsq,V(G)/Vp,0.033805,0.048698
X_apo.ENSG00000005156.11.hsq,V(G)/Vp,0.000001,0.053975
X_apo.ENSG00000005194.14.hsq,V(G)/Vp,0.106006,0.061730
X_apo.ENSG00000005206.16.hsq,V(G)/Vp,0.033870,0.060247
X_apo.ENSG00000005379.15.hsq,V(G)/Vp,0.123400,0.073882
X_apo.ENSG00000005436.13.hsq,V(G)/Vp,0.089814,0.057807
X_apo.ENSG00000005448.16.hsq,V(G)/Vp,0.007581,0.045167
X_apo.ENSG00000005469.11.hsq,V(G)/Vp,0.156990,0.068140
X_apo.ENSG00000005483.20.hsq,V(G)/Vp,0.087624,0.066723
X_apo.ENSG00000005486.16.hsq,V(G)/Vp,0.007241,0.049478
X_apo.ENSG00000005700.14.hsq,V(G)/Vp,0.075447,0.054836
X_apo.ENSG00000005801.16.hsq,V(G)/Vp,0.027394,0.051176
X_apo.ENSG00000005810.17.hsq,V(G)/Vp,0.100789,0.065311
X_apo.ENSG00000005844.17.hsq,V(G)/Vp,0.058588,0.065032
X_apo.ENSG00000006015.17.hsq,V(G)/Vp,0.088049,0.075926
X_apo.ENSG00000006025.11.hsq,V(G)/Vp,0.074983,0.064526
X_apo.ENSG00000006062.14.hsq,V(G)/Vp,0.065567,0.058255
X_apo.ENSG00000006125.17.hsq,V(G)/Vp,0.073856,0.060894
X_apo.ENSG00000006194.9.hsq,V(G)/Vp,0.125230,0.063774
X_apo.ENSG00000006451.7.hsq,V(G)/Vp,0.085790,0.055665
X_apo.ENSG00000006459.10.hsq,V(G)/Vp,0.021136,0.051320
X_apo.ENSG00000006530.15.hsq,V(G)/Vp,0.017716,0.058745
X_apo.ENSG00000006576.16.hsq,V(G)/Vp,0.014134,0.055940
X_apo.ENSG00000006625.17.hsq,V(G)/Vp,0.071204,0.062675
X_apo.ENSG00000006634.7.hsq,V(G)/Vp,0.028659,0.047660
X_apo.ENSG00000006652.13.hsq,V(G)/Vp,0.099201,0.058117
X_apo.ENSG00000006695.10.hsq,V(G)/Vp,0.115563,0.070666
X_apo.ENSG00000006712.14.hsq,V(G)/Vp,0.043840,0.059879
X_apo.ENSG00000006744.18.hsq,V(G)/Vp,0.043502,0.059430
X_apo.ENSG00000006831.9.hsq,V(G)/Vp,0.114572,0.075468
X_apo.ENSG00000007168.12.hsq,V(G)/Vp,0.007706,0.048699
X_apo.ENSG00000007202.14.hsq,V(G)/Vp,0.041778,0.053212
X_apo.ENSG00000007255.10.hsq,V(G)/Vp,0.061242,0.062437
X_apo.ENSG00000007264.14.hsq,V(G)/Vp,0.033689,0.072349
X_apo.ENSG00000007376.7.hsq,V(G)/Vp,0.066597,0.048494
X_apo.ENSG00000007392.16.hsq,V(G)/Vp,0.146915,0.075592
X_apo.ENSG00000007402.11.hsq,V(G)/Vp,0.032373,0.055183
X_apo.ENSG00000007520.3.hsq,V(G)/Vp,0.077679,0.049671
X_apo.ENSG00000007545.15.hsq,V(G)/Vp,0.094369,0.076705
X_apo.ENSG00000007923.15.hsq,V(G)/Vp,0.141188,0.071678
X_apo.ENSG00000008018.8.hsq,V(G)/Vp,0.032398,0.042403
X_apo.ENSG00000008083.13.hsq,V(G)/Vp,0.069158,0.066433
X_apo.ENSG00000008283.15.hsq,V(G)/Vp,0.160462,0.070628
X_apo.ENSG00000008294.20.hsq,V(G)/Vp,0.071153,0.065432
X_apo.ENSG00000054611.13.hsq,V(G)/Vp,0.034605,0.040272
X_apo.ENSG00000008324.11.hsq,V(G)/Vp,0.061266,0.051963
