File_name,Source,Variance(value),SE
X.ENSG00000004776.12.hsq,V(G)/Vp,0.000001,0.051561
X.ENSG00000077522.12.hsq,V(G)/Vp,0.000001,0.043542
X.ENSG00000086967.9.hsq,V(G)/Vp,0.000001,0.049444
X.ENSG00000092054.12.hsq,V(G)/Vp,0.000001,0.052973
X.ENSG00000101210.10.hsq,V(G)/Vp,0.000001,0.041406
X.ENSG00000101470.9.hsq,V(G)/Vp,0.000001,0.049637
X.ENSG00000104879.4.hsq,V(G)/Vp,0.015646,0.061981
X.ENSG00000109061.9.hsq,V(G)/Vp,0.000001,0.055632
X.ENSG00000109846.7.hsq,V(G)/Vp,0.000001,0.040283
X.ENSG00000111245.14.hsq,V(G)/Vp,0.000001,0.055604
X.ENSG00000114854.7.hsq,V(G)/Vp,0.000001,0.046294
X.ENSG00000121769.7.hsq,V(G)/Vp,0.030901,0.042023
X.ENSG00000125414.18.hsq,V(G)/Vp,0.000001,0.059118
X.ENSG00000128591.15.hsq,V(G)/Vp,0.000001,0.046401
X.ENSG00000143318.12.hsq,V(G)/Vp,0.039268,0.065396
X.ENSG00000143632.14.hsq,V(G)/Vp,0.000001,0.050163
X.ENSG00000152137.6.hsq,V(G)/Vp,0.000001,0.042687
X.ENSG00000154553.13.hsq,V(G)/Vp,0.000001,0.039048
X.ENSG00000156885.5.hsq,V(G)/Vp,0.000001,0.038750
X.ENSG00000159173.18.hsq,V(G)/Vp,0.048268,0.067387
X.ENSG00000160808.9.hsq,V(G)/Vp,0.000001,0.038502
X.ENSG00000161281.10.hsq,V(G)/Vp,0.000001,0.041739
X.ENSG00000168530.15.hsq,V(G)/Vp,0.000001,0.050556
X.ENSG00000170290.3.hsq,V(G)/Vp,0.000001,0.043428
X.ENSG00000173641.17.hsq,V(G)/Vp,0.000001,0.052622
X.ENSG00000173991.5.hsq,V(G)/Vp,0.000001,0.071563
X.ENSG00000175084.11.hsq,V(G)/Vp,0.000001,0.050817
X.ENSG00000177791.11.hsq,V(G)/Vp,0.000001,0.032409
X.ENSG00000180209.11.hsq,V(G)/Vp,0.000001,0.060234
X.ENSG00000182676.4.hsq,V(G)/Vp,0.000001,0.058595
X.ENSG00000196091.13.hsq,V(G)/Vp,0.000001,0.046231
X.ENSG00000196296.13.hsq,V(G)/Vp,0.000001,0.056416
X.ENSG00000197893.13.hsq,V(G)/Vp,0.000001,0.063365
X.ENSG00000198125.12.hsq,V(G)/Vp,0.000001,0.038045
X.ENSG00000239474.6.hsq,V(G)/Vp,0.000001,0.061153
