X,X_apo
0.02951,0.034664
0.09503,0.107316
0.077712,0.074676
0.064833,0.069905
0.14109,0.118398
0.07383,0.072478
0.02867,0.021473
0.074626,0.018913
0.121369,0.124173
0.183687,0.107367
0.192762,0.207976
0.044875,0.074278
1e-06,1e-06
0.077957,0.093108
0.221521,0.128093
0.113712,0.111724
0.068995,0.07079
0.065544,0.104693
0.186855,0.001255
1e-06,0.106947
0.09297,0.10087
0.119473,0.033805
0.031554,1e-06
1e-06,0.106006
0.098292,0.03387
0.072313,0.1234
0.121617,0.089814
0.089735,0.007581
0.012475,0.15699
0.193214,0.087624
0.086963,0.007241
0.036406,0.075447
0.07846,0.027394
0.028515,0.100789
0.078491,0.058588
0.05234,0.088049
0.182191,0.074983
0.065165,0.065567
0.07556,0.073856
0.05626,0.12523
0.13459,0.08579
0.083599,0.021136
0.007401,0.017716
0.030797,0.014134
0.035297,0.071204
0.075547,0.028659
0.034584,0.099201
0.065313,0.115563
0.117588,0.04384
0.037734,0.043502
0.051327,0.114572
0.045807,0.007706
0.009956,0.041778
0.047962,0.061242
0.093786,0.033689
0.079561,0.066597
0.069784,0.146915
0.177218,0.032373
0.048555,0.077679
0.056791,0.094369
0.129447,0.141188
0.127567,0.032398
0.022693,0.069158
0.043044,0.160462
0.174731,0.071153
0.059626,0.034605
0.058029,0.061266
0.016994,0.019302
1e-06,1e-06
0.095932,0.066828
0.120925,0.105931
0.08633,0.093485
0.065232,0.06963
0.022518,0.020046
0.024751,0.026955
0.030946,0.021414
1e-06,1e-06
0.181529,0.160279
0.013786,0.013634
0.078157,0.079221
1e-06,0.074111
1e-06,1e-06
0.06754,1e-06
1e-06,0.076329
0.135765,1e-06
0.021319,0.163001
0.003327,0.026427
1e-06,0.012209
0.045845,1e-06
1e-06,0.060853
0.086059,1e-06
0.048703,0.075238
0.086497,0.045954
0.079872,0.047366
0.129383,0.123876
0.076761,0.086446
0.090099,0.110794
0.005682,0.076912
0.117394,0.076892
0.047136,0.007223
0.097099,0.064829
1e-06,0.057416
0.080014,0.111444
0.057021,1e-06
0.244365,0.098754
0.151176,0.028988
0.141752,0.193447
0.043676,0.097055
1e-06,0.130285
0.107835,0.041688
0.08581,1e-06
0.156425,0.106976
0.131492,0.072166
0.094638,0.168318
0.068205,0.134926
0.070228,0.108243
0.05817,0.059504
0.12497,0.04112
0.025423,0.048254
0.001173,0.1281
0.041611,0.027496
0.06758,1e-06
0.072014,0.051916
0.199894,0.051767
0.112967,0.06185
0.093403,0.194145
0.059459,0.108315
0.057295,0.089581
0.074631,0.077228
0.139009,0.046807
0.116948,0.077237
0.079215,0.147772
0.047404,0.106841
0.123261,0.072528
0.075698,0.056867
0.039341,0.098615
0.172895,0.072273
0.015206,0.033959
0.029531,0.123731
0.002624,0.02106
0.039538,0.0257
1e-06,1e-06
0.062598,0.034356
0.122198,1e-06
1e-06,0.032283
0.129711,0.150696
0.033897,1e-06
0.027069,0.053808
0.012628,0.134003
0.124628,0.033525
0.097797,0.030549
0.076921,0.021162
1e-06,0.115396
0.022374,0.072539
0.197618,0.067732
0.073338,1e-06
0.050044,0.018162
0.030606,0.170861
0.084066,0.045079
0.090301,0.05649
0.046207,0.030396
0.115081,0.080366
0.130503,0.122791
0.181923,0.09597
0.152174,0.04334
0.132887,0.093186
0.052243,0.136829
0.057602,0.156944
0.015083,0.139682
0.106005,0.101664
0.200598,0.046478
0.031917,0.055283
0.006639,0.03419
0.064304,0.091493
0.111393,0.10152
0.118522,0.027453
0.04956,0.001767
0.063693,0.078831
0.101384,0.08285
0.012281,0.116615
0.11139,0.055663
0.108945,0.040358
0.012314,0.093282
0.084059,0.010819
0.106179,0.124807
0.122762,0.093982
0.000575,0.00149
0.081532,0.083942
0.037612,0.086834
0.196591,0.110151
0.231178,1e-06
0.102929,0.069536
0.046294,0.046421
0.154537,0.154125
0.138585,0.161986
0.099036,0.073423
0.083942,0.061968
0.115825,0.127908
0.032399,0.14917
0.029632,0.091736
0.080623,0.070412
1e-06,0.108491
0.071685,0.114493
1e-06,0.010427
0.033886,0.019601
1e-06,0.079095
0.106958,1e-06
0.050686,0.03876
0.053929,1e-06
0.003627,0.041338
0.125634,1e-06
0.075703,0.106692
1e-06,0.048361
0.055741,0.049628
1e-06,0.008592
0.068564,0.129294
0.130002,0.115946
0.127674,0.079375
0.103931,1e-06
0.023658,0.066033
0.087908,0.012905
0.043589,0.073366
0.104521,0.13118
1e-06,0.137076
1e-06,0.121216
0.065221,0.021795
0.095939,1e-06
0.061989,0.095156
0.025657,0.0025
0.035192,1e-06
0.129211,0.076652
0.11322,0.087819
0.062246,0.065614
0.007205,0.024974
0.044562,0.031464
0.097378,0.120147
0.159845,0.095992
0.00731,0.050659
0.104918,0.014297
1e-06,0.058607
0.063319,0.100468
0.008039,0.105265
0.112343,0.114942
0.156935,0.022358
0.01916,0.119991
0.024399,1e-06
0.128026,0.057346
1e-06,0.008482
0.121743,0.081367
1e-06,0.139316
0.02521,0.026637
0.018686,0.028008
0.041823,0.115989
1e-06,1e-06
0.069051,0.064888
0.044622,0.110035
0.065636,0.083159
0.118012,1e-06
0.11494,0.025696
1e-06,0.034714
1e-06,0.034279
0.059462,0.005878
0.028939,0.074237
0.066146,0.048084
0.183491,0.048273
0.040447,0.101563
0.007204,0.107737
0.083375,1e-06
0.081345,1e-06
0.03549,0.081446
0.061328,0.06284
0.065634,0.031509
0.096069,0.074095
0.095512,0.056682
1e-06,0.044488
0.03544,0.028183
0.062654,0.045024
0.030365,0.064955
0.146557,0.018522
0.144923,0.059956
0.021052,0.074265
0.119501,0.107279
0.214911,0.097691
0.120435,1e-06
0.003052,0.125303
0.060943,0.029135
0.076299,0.072945
1e-06,0.003309
0.019825,0.139278
0.051107,0.073257
0.037139,0.028206
1e-06,0.136531
1e-06,0.140288
0.154691,0.119739
0.075774,0.002395
0.077817,0.061149
0.22345,0.057436
0.094827,1e-06
0.08397,0.040952
0.007958,0.027411
0.127778,0.050688
0.002542,0.070659
0.119822,1e-06
0.055729,0.021915
1e-06,0.1204
0.072755,0.086757
0.034354,0.079033
0.063963,0.220723
1e-06,0.084568
0.064397,0.04064
1e-06,1e-06
0.036545,0.097948
0.306388,0.018485
0.058006,0.096735
0.162134,0.059147
0.070168,1e-06
0.044165,0.062082
0.032065,0.043259
0.121165,0.084451
0.040854,1e-06
0.054246,0.055624
0.091637,1e-06
0.014457,0.033558
0.028229,0.254605
0.161559,0.052981
0.094207,0.146369
0.116463,0.064313
0.072994,0.060835
0.062777,0.034167
0.162418,0.129293
0.175974,0.023217
0.079977,0.049947
0.112393,0.080551
0.096051,0.032328
0.121578,0.025654
