module,variable,value
72,Before,178.6494376
72,Before,250.0522006
72,Before,123.9898973
34,Before,46.68645599
34,Before,23.08507643
34,Before,141.6364439
34,Before,224.3834788
34,Before,267.6648988
34,Before,60.46046189
34,Before,22.56262991
34,Before,44.90506445
72,Before,188.2994242
72,Before,198.8849579
34,Before,235.1759039
34,Before,155.5635992
72,Before,97.20628034
72,Before,213.8858497
72,Before,132.7564842
72,Before,195.8725286
72,Before,167.8985894
34,Before,89.51703688
34,Before,109.6724499
34,Before,110.2169937
34,Before,220.6845546
34,Before,51.62371814
72,Before,85.35709571
72,Before,275.5556507
34,Before,161.216096
74,Before,3.407668926
34,Before,61.81808254
34,Before,79.65668875
34,Before,177.1666888
34,Before,219.0245633
72,Before,156.8181793
72,Before,126.1654201
34,Before,128.4134588
72,Before,48.33731613
34,Before,240.8847048
34,Before,143.9459629
72,Before,151.8597985
34,Before,200.9989039
34,Before,99.62487036
72,Before,60.37880246
72,Before,97.58256054
34,Before,50.20086002
34,Before,126.9633589
34,Before,58.06564349
34,Before,90.99725682
34,Before,108.1173586
34,Before,17.45220797
34,Before,236.8561459
34,Before,189.7365255
34,Before,211.0347266
72,Before,228.9795935
34,Before,58.18794188
72,Before,83.5536065
34,Before,20.94968945
34,Before,68.36174652
34,Before,86.25253044
34,Before,79.69651828
34,Before,239.4603152
34,Before,191.0152351
34,Before,59.14170345
34,Before,200.5201307
34,Before,111.4782286
34,Before,69.86117786
34,Before,74.38698734
34,Before,9.871593463
34,Before,207.0138297
34,Before,25.22183459
72,Before,265.9688095
34,Before,194.2307849
34,Before,89.39390212
34,Before,206.4002515
34,Before,234.3161316
72,Before,107.3320237
34,Before,42.81896861
34,Before,43.54407659
34,Before,110.1887376
34,Before,24.28200973
34,Before,47.48041065
34,Before,71.69260761
34,Before,135.498049
34,Before,220.7248791
72,Before,48.22098393
34,Before,141.9346308
34,Before,48.22949352
72,Before,166.6000164
72,Before,229.013274
34,Before,51.20048084
34,Before,63.06990608
34,Before,41.61545882
34,Before,42.37377772
34,Before,87.1497338
34,Before,46.93902135
72,Before,74.4590568
34,Before,23.39292505
34,Before,153.285566
34,Before,187.8831176
72,Before,203.4418804
72,Before,35.96145388
34,Before,42.54187762
72,Before,163.9786725
34,Before,319.7934156
34,Before,153.1095713
34,Before,236.3527117
34,Before,60.39247965
72,Before,254.3447914
34,Before,258.7717048
72,Before,80.44676512
72,Before,162.3581121
34,Before,152.1027028
34,Before,229.7471581
34,Before,52.14525066
72,Before,144.8892825
34,Before,76.71112375
34,Before,126.7064558
34,Before,29.06884642
34,Before,183.4479961
72,Before,101.5894071
34,Before,33.09256213
34,Before,119.9654179
34,Before,104.0882504
34,Before,40.42483958
34,Before,199.9599033
34,Before,143.3540261
34,Before,124.5656187
72,Before,278.2471437
34,Before,89.51299332
34,Before,99.31455978
34,Before,24.01046299
72,Before,257.3954859
34,Before,178.4427079
34,Before,200.8848036
34,Before,164.1025655
34,Before,197.7521565
34,Before,156.4592656
34,Before,186.0731373
34,Before,157.8380644
72,Before,280.2034745
34,Before,70.90150932
34,Before,147.1885627
72,Before,39.88312803
72,Before,64.30484118
34,Before,60.30009751
34,Before,87.48315636
72,Before,146.7253522
72,Before,175.8244983
72,Before,112.3625574
72,Before,114.145906
34,Before,307.0323171
34,Before,28.86094459
34,Before,121.1154622
34,Before,227.1999288
72,Before,139.3780951
34,Before,132.8232039
34,Before,107.5756892
34,Before,31.14424803
34,Before,101.499398
34,Before,179.7695007
34,Before,63.15994905
72,Before,131.260799
72,Before,219.4423463
34,Before,86.06257231
34,Before,108.9594279
72,Before,53.38794965
34,Before,143.8854174
72,Before,240.6165841
72,Before,245.4369293
34,Before,210.9427155
34,Before,138.2169459
34,Before,171.2298027
72,Before,67.73612853
34,Before,83.78010674
34,Before,153.8297359
34,Before,248.4274228
72,Before,258.341764
34,Before,266.0402691
72,Before,60.59871383
34,Before,128.6467546
34,Before,168.2539663
34,Before,129.3795883
72,Before,28.89963835
34,Before,86.9849082
34,Before,46.46130616
34,Before,59.84181603
34,Before,191.6994921
72,Before,56.1406684
72,Before,257.5762966
34,Before,49.91157614
34,Before,265.5461722
72,Before,130.9447241
72,Before,145.4295418
72,Before,366.6002923
34,Before,74.82342016
34,Before,249.2666846
72,Before,157.9095063
72,Before,213.1706611
34,Before,46.17296227
34,Before,209.7128685
72,Before,181.9606322
34,Before,233.6743999
34,Before,86.98094039
72,Before,61.40637869
72,Before,201.8626181
72,Before,125.5356035
34,Before,149.6540798
34,Before,59.62072631
34,Before,113.0313346
34,Before,119.4557523
34,Before,138.0102044
34,Before,226.8129762
34,Before,40.43605794
72,Before,147.3451523
72,Before,78.25849485
34,Before,36.50060179
34,Before,82.74414756
72,Before,126.444705
34,Before,33.55958617
72,Before,132.2349109
34,Before,158.5270457
34,Before,293.6920458
72,Before,286.6667788
72,Before,93.62743488
72,Before,284.942914
72,Before,303.9462852
34,Before,94.29232668
34,Before,327.5488901
34,Before,266.9330671
34,Before,33.65444072
72,Before,61.95993202
34,Before,155.9195503
34,Before,142.330505
34,Before,232.4832557
72,Before,200.6315319
34,Before,129.6747441
34,Before,96.1535911
72,Before,329.480521
34,Before,213.9859391
72,Before,204.9702268
34,Before,78.61625779
72,Before,71.5014538
72,Before,14.63972695
72,Before,149.1942198
34,Before,97.9298907
34,Before,30.72176323
34,Before,30.82545631
72,Before,119.8975364
34,Before,68.20177474
34,Before,99.49573037
34,Before,64.79837593
34,Before,168.41433
72,Before,67.55168454
72,Before,168.3599885
34,Before,84.25508125
72,Before,154.8751708
34,Before,289.9058901
72,Before,287.5846904
72,Before,233.7127985
34,Before,199.265321
34,Before,287.0103717
34,Before,114.7841427
72,Before,120.0146742
34,Before,153.8449224
34,Before,103.3712826
72,Before,215.4317099
72,Before,264.7127625
34,Before,237.5885236
72,Before,65.43185971
34,Before,148.4549313
34,Before,286.003814
72,Before,162.8607286
34,Before,85.08363833
72,Before,185.084099
34,Before,84.53164774
34,Before,144.3535875
72,Before,74.17521986
72,Before,221.2651768
72,Before,71.30129253
34,Before,233.4302002
34,Before,82.42473347
34,Before,58.22742588
34,Before,192.4189844
72,Before,263.46128
72,Before,180.6424543
72,Before,27.34881482
72,Before,38.6001496
34,Before,127.3304868
