gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000135341.17,393.8257756,262.0236072,131.8021684,130.2214387,72
ENSG00000159579.13,389.9341243,276.0422306,113.8918937,162.1503369,72
ENSG00000074603.18,384.1935479,305.946888,78.2466599,227.7002281,72
ENSG00000196504.15,376.0427759,304.2634642,71.77931167,232.4841526,72
ENSG00000141646.13,375.995323,281.7250948,94.27022825,187.4548665,72
ENSG00000109606.12,372.3338677,215.1354236,157.198444,57.93697959,34
ENSG00000163714.17,368.3646937,178.0886852,190.2760085,-12.18732329,34
ENSG00000275052.4,367.3855344,311.952177,55.43335746,256.5188195,72
ENSG00000023041.11,366.6002923,227.9426016,138.6576906,89.28491098,72
ENSG00000136146.14,366.5977096,283.5147425,83.08296712,200.4317754,72
ENSG00000157538.13,364.8389507,288.905068,75.93388262,212.9711854,72
ENSG00000134283.17,364.5418968,262.8900971,101.6517998,161.2382973,34
ENSG00000122545.18,363.1092393,272.0754437,91.03379558,181.0416481,72
ENSG00000136758.18,362.9638275,255.2335725,107.730255,147.5033175,72
ENSG00000136451.8,362.7874971,316.1089682,46.67852888,269.4304393,72
ENSG00000065883.14,362.3111359,244.9825722,117.3285637,127.6540085,72
ENSG00000139218.17,361.9844172,297.0045604,64.97985686,232.0247035,72
ENSG00000119396.10,361.955575,319.046903,42.90867195,276.1382311,72
ENSG00000056097.15,359.526244,254.7337291,104.7925149,149.9412141,72
ENSG00000091009.7,358.0718102,201.6308597,156.4409505,45.18990921,72
ENSG00000124783.12,357.6279644,243.5914124,114.036552,129.5548604,72
ENSG00000055917.15,355.7147833,297.5296285,58.18515477,239.3444737,72
ENSG00000170471.14,355.4839283,222.5070893,132.976839,89.53025032,72
ENSG00000166170.9,352.0892706,182.5191268,169.5701438,12.94898301,34
ENSG00000112739.16,350.626953,170.3444741,180.2824788,-9.938004708,72
ENSG00000062650.17,350.4228411,278.1096615,72.31317961,205.7964819,72
ENSG00000138592.13,347.6871999,307.8173302,39.86986968,267.9474605,72
ENSG00000137776.16,347.5191013,271.4011955,76.11790579,195.2832897,72
ENSG00000140632.16,347.1357308,238.1637052,108.9720256,129.1916795,72
ENSG00000168092.13,346.0467163,309.3471179,36.69959843,272.6475194,72
ENSG00000114978.17,345.7875183,308.4675361,37.31998228,271.1475538,72
ENSG00000107854.5,345.2760825,234.9320642,110.3440183,124.5880458,72
ENSG00000109180.14,344.9348044,244.6522942,100.2825102,144.3697839,72
ENSG00000141380.13,344.8929026,225.6288141,119.2640886,106.3647255,34
ENSG00000073584.18,344.1562533,207.8045916,136.3516617,71.45292991,34
ENSG00000077254.14,344.013391,292.8197248,51.19366617,241.6260586,72
ENSG00000153339.13,341.4026357,308.8622444,32.54039125,276.3218532,72
ENSG00000272886.5,341.0858455,208.5047342,132.5811113,75.92362289,72
ENSG00000166822.12,339.8054804,175.4526054,164.352875,11.09973038,34
ENSG00000159658.10,339.233482,156.0364072,183.1970748,-27.16066764,34
ENSG00000138768.14,337.4587562,235.7330678,101.7256884,134.0073794,72
ENSG00000136152.14,335.9421208,192.0487817,143.893339,48.15544269,34
ENSG00000162869.15,335.6590963,309.1753739,26.48372242,282.6916515,72
ENSG00000165487.13,334.4387203,267.8371361,66.60158427,201.2355518,72
ENSG00000128989.10,333.8292938,232.1434225,101.6858713,130.4575512,72
ENSG00000114098.17,333.5867248,268.9805257,64.60619915,204.3743265,72
ENSG00000110048.11,332.8355381,211.8894797,120.9460583,90.94342141,34
ENSG00000077147.14,331.8754007,145.8371737,186.038227,-40.20105327,34
ENSG00000096401.7,331.0315891,275.6675157,55.3640734,220.3034423,72
ENSG00000120948.16,330.9263572,242.7130237,88.2133335,154.4996901,34
ENSG00000139697.13,330.7372048,297.2287929,33.50841186,263.7203811,72
ENSG00000140153.17,330.259551,280.6238624,49.63568857,230.9881739,72
ENSG00000078142.12,330.1066453,288.2259335,41.88071176,246.3452218,72
ENSG00000196776.14,329.9165366,204.5154661,125.4010706,79.11439551,72
ENSG00000100796.17,329.8060801,196.2510709,133.5550092,62.69606175,34
ENSG00000052723.11,329.6944953,224.5150674,105.1794278,119.3356396,72
ENSG00000052841.14,329.6938693,228.2367247,101.4571446,126.7795801,34
ENSG00000033030.13,329.480521,173.1393592,156.3411618,16.79819733,72
ENSG00000257103.8,329.381344,162.1011998,167.2801442,-5.178944434,72
ENSG00000106609.16,329.0120583,192.3779102,136.6341481,55.74376206,34
ENSG00000163781.12,328.452832,233.9555479,94.49728417,139.4582637,72
ENSG00000163161.12,327.9987407,280.8018464,47.19689434,233.6049521,34
