gene_id,module,kTotal_input,kWithin_input,kOut_input,kDiff_input,kTotal_output,kWithin_output,kOut_output,kDiff_output,gene
ENSG00000000419.12,72,178.6494376,163.4413442,15.20809344,148.2332507,264.009583,264.009583,0,264.009583,DPM1
ENSG00000000457.13,72,250.0522006,210.6297728,39.42242784,171.2073449,359.7378172,359.7378172,0,359.7378172,SCYL3
ENSG00000000938.12,72,123.9898973,115.298473,8.691424364,106.6070486,202.1373176,202.1373176,0,202.1373176,FGR
ENSG00000001036.13,34,46.68645599,35.18917291,11.49728307,23.69188984,35.18917291,35.18917291,0,35.18917291,FUCA2
ENSG00000001167.14,34,23.08507643,20.26812435,2.816952083,17.45117226,20.26812435,20.26812435,7.11E-15,20.26812435,NFYA
ENSG00000001461.16,34,141.6364439,140.429288,1.207155907,139.2221321,140.429288,140.429288,0,140.429288,NIPAL3
ENSG00000001629.9,34,224.3834788,186.1476472,38.23583155,147.9118156,186.1476472,186.1476472,0,186.1476472,ANKIB1
ENSG00000001631.15,34,267.6648988,144.8842435,122.7806553,22.10358822,144.8842435,144.8842435,0,144.8842435,KRIT1
ENSG00000002016.17,34,60.46046189,55.63564663,4.824815259,50.81083137,55.63564663,55.63564663,0,55.63564663,RAD52
ENSG00000002330.13,34,22.56262991,15.68361124,6.879018668,8.80459257,15.68361124,15.68361124,0,15.68361124,BAD
ENSG00000002822.15,34,44.90506445,44.88527121,0.019793234,44.86547798,44.88527121,44.88527121,0,44.88527121,MAD1L1
ENSG00000002834.17,72,188.2994242,165.2063249,23.09309933,142.1132256,255.5947785,255.5947785,0,255.5947785,LASP1
ENSG00000002919.14,72,198.8849579,188.0455235,10.83943435,177.2060892,315.355464,315.355464,0,315.355464,SNX11
ENSG00000003056.7,34,235.1759039,204.5298549,30.64604901,173.8838058,204.5298549,204.5298549,0,204.5298549,M6PR
ENSG00000003393.14,34,155.5635992,81.28287585,74.28072331,7.002152537,81.28287585,81.28287585,0,81.28287585,ALS2
ENSG00000003400.14,72,97.20628034,63.5159504,33.69032993,29.82562047,125.8024813,125.8024813,2.84E-14,125.8024813,CASP10
ENSG00000003402.19,72,213.8858497,207.2223439,6.663505803,200.5588381,305.871591,305.871591,0,305.871591,CFLAR
ENSG00000003509.15,72,132.7564842,124.0818908,8.674593415,115.4072974,234.2675597,234.2675597,5.68E-14,234.2675597,NDUFAF7
ENSG00000003756.16,72,195.8725286,149.2067254,46.66580321,102.5409222,226.5898219,226.5898219,2.84E-14,226.5898219,RBM5
ENSG00000004059.10,72,167.8985894,116.6234939,51.27509548,65.34839843,182.9410261,182.9410261,2.84E-14,182.9410261,ARF5
ENSG00000004139.13,34,89.51703688,88.17622665,1.340810228,86.83541642,88.17622665,88.17622665,0,88.17622665,SARM1
ENSG00000004142.11,34,109.6724499,75.18198329,34.49046666,40.69151663,75.18198329,75.18198329,0,75.18198329,POLDIP2
ENSG00000004455.16,34,110.2169937,107.7127815,2.504212195,105.2085693,107.7127815,107.7127815,0,107.7127815,AK2
ENSG00000004487.15,34,220.6845546,218.6954575,1.989097092,216.7063604,218.6954575,218.6954575,0,218.6954575,KDM1A
ENSG00000004534.14,34,51.62371814,49.42527761,2.198440527,47.22683708,49.42527761,49.42527761,0,49.42527761,RBM6
ENSG00000004660.14,72,85.35709571,81.58342536,3.773670349,77.80975502,206.0718891,206.0718891,0,206.0718891,CAMKK1
ENSG00000004700.15,72,275.5556507,143.5223423,132.0333084,11.48903389,238.449217,238.449217,0,238.449217,RECQL
ENSG00000004766.15,34,161.216096,89.05467135,72.16142465,16.8932467,89.05467135,89.05467135,0,89.05467135,VPS50
ENSG00000004776.12,74,3.407668926,3.407625902,4.30E-05,3.407582878,28.40136112,28.40136112,0,28.40136112,HSPB6
ENSG00000004779.9,34,61.81808254,49.30590001,12.51218252,36.79371749,49.30590001,49.30590001,0,49.30590001,NDUFAB1
ENSG00000004864.13,34,79.65668875,68.79073568,10.86595307,57.92478261,68.79073568,68.79073568,0,68.79073568,SLC25A13
ENSG00000004897.11,34,177.1666888,102.002153,75.16453578,26.83761721,102.002153,102.002153,0,102.002153,CDC27
ENSG00000004975.11,34,219.0245633,217.0968375,1.927725765,215.1691118,217.0968375,217.0968375,0,217.0968375,DVL2
ENSG00000005007.12,72,156.8181793,129.5863496,27.23182976,102.3545198,202.2170785,202.2170785,0,202.2170785,UPF1
ENSG00000005020.12,72,126.1654201,124.0198261,2.145594063,121.874232,225.781394,225.781394,2.84E-14,225.781394,SKAP2
ENSG00000005059.15,34,128.4134588,119.635528,8.777930815,110.8575972,119.635528,119.635528,0,119.635528,MCUB
ENSG00000005075.15,72,48.33731613,30.25419566,18.08312048,12.17107518,58.2899924,58.2899924,1.42E-14,58.2899924,POLR2J
ENSG00000005100.12,34,240.8847048,139.4896862,101.3950186,38.09466761,139.4896862,139.4896862,0,139.4896862,DHX33
ENSG00000005156.11,34,143.9459629,142.5335114,1.412451529,141.1210598,142.5335114,142.5335114,0,142.5335114,LIG3
ENSG00000005175.9,72,151.8597985,103.3571267,48.50267176,54.85445497,206.7932063,206.7932063,0,206.7932063,RPAP3
ENSG00000005194.14,34,200.9989039,172.8545137,28.14439023,144.7101234,172.8545137,172.8545137,0,172.8545137,CIAPIN1
ENSG00000005206.16,34,99.62487036,98.83415575,0.790714612,98.04344114,98.83415575,98.83415575,0,98.83415575,SPPL2B
ENSG00000005238.19,72,60.37880246,55.76853878,4.610263683,51.1582751,129.0814006,129.0814006,2.84E-14,129.0814006,FAM214B
ENSG00000005339.14,72,97.58256054,74.72214924,22.8604113,51.86173795,123.4596089,123.4596089,0,123.4596089,CREBBP
ENSG00000005379.15,34,50.20086002,50.16115618,0.03970384,50.12145234,50.16115618,50.16115618,1.42E-14,50.16115618,TSPOAP1
ENSG00000005436.13,34,126.9633589,123.9472715,3.016087428,120.931184,123.9472715,123.9472715,0,123.9472715,GCFC2
ENSG00000005448.16,34,58.06564349,57.93472111,0.130922381,57.80379873,57.93472111,57.93472111,0,57.93472111,WDR54
ENSG00000005469.11,34,90.99725682,78.67110481,12.326152,66.34495281,78.67110481,78.67110481,0,78.67110481,CROT
ENSG00000005483.20,34,108.1173586,66.17684042,41.94051822,24.2363222,66.17684042,66.17684042,0,66.17684042,KMT2E
ENSG00000005486.16,34,17.45220797,12.13769339,5.314514587,6.823178799,12.13769339,12.13769339,0,12.13769339,RHBDD2
ENSG00000005700.14,34,236.8561459,180.0260643,56.83008163,123.1959827,180.0260643,180.0260643,0,180.0260643,IBTK
ENSG00000005801.16,34,189.7365255,153.6294109,36.10711459,117.5222963,153.6294109,153.6294109,0,153.6294109,ZNF195
ENSG00000005810.17,34,211.0347266,179.500956,31.53377061,147.9671854,179.500956,179.500956,0,179.500956,MYCBP2
ENSG00000005812.10,72,228.9795935,218.3494884,10.63010504,207.7193834,303.873352,303.873352,0,303.873352,FBXL3
ENSG00000005844.17,34,58.18794188,56.45699002,1.730951858,54.72603816,56.45699002,56.45699002,0,56.45699002,ITGAL
ENSG00000006007.11,72,83.5536065,81.26800933,2.285597169,78.98241216,197.6195524,197.6195524,5.68E-14,197.6195524,GDE1
ENSG00000006015.17,34,20.94968945,20.94525042,0.004439029,20.94081139,20.94525042,20.94525042,0,20.94525042,C19orf60
ENSG00000006025.11,34,68.36174652,68.29303286,0.068713666,68.22431919,68.29303286,68.29303286,0,68.29303286,OSBPL7
ENSG00000006062.14,34,86.25253044,84.69145972,1.561070718,83.130389,84.69145972,84.69145972,0,84.69145972,MAP3K14
ENSG00000006125.17,34,79.69651828,59.03406474,20.66245354,38.37161119,59.03406474,59.03406474,0,59.03406474,AP2B1
ENSG00000006194.9,34,239.4603152,217.2906025,22.16971264,195.1208899,217.2906025,217.2906025,0,217.2906025,ZNF263
ENSG00000006451.7,34,191.0152351,104.1197061,86.89552907,17.22417699,104.1197061,104.1197061,0,104.1197061,RALA
ENSG00000006459.10,34,59.14170345,20.211423,38.93028045,-18.71885745,20.211423,20.211423,0,20.211423,KDM7A
ENSG00000006530.15,34,200.5201307,199.0213225,1.498808201,197.5225143,199.0213225,199.0213225,0,199.0213225,AGK
ENSG00000006576.16,34,111.4782286,97.10446493,14.37376368,82.73070125,97.10446493,97.10446493,0,97.10446493,PHTF2
ENSG00000006625.17,34,69.86117786,57.45376996,12.4074079,45.04636205,57.45376996,57.45376996,0,57.45376996,GGCT
ENSG00000006634.7,34,74.38698734,71.82026208,2.566725266,69.25353681,71.82026208,71.82026208,0,71.82026208,DBF4
ENSG00000006652.13,34,9.871593463,8.296712792,1.574880671,6.721832122,8.296712792,8.296712792,1.78E-15,8.296712792,IFRD1
ENSG00000006695.10,34,207.0138297,205.0855849,1.928244783,203.1573401,205.0855849,205.0855849,0,205.0855849,COX10
ENSG00000006712.14,34,25.22183459,23.93790747,1.283927117,22.65398035,23.93790747,23.93790747,0,23.93790747,PAF1
ENSG00000006715.15,72,265.9688095,142.3516206,123.6171889,18.73443165,235.1841754,235.1841754,0,235.1841754,VPS41
ENSG00000006744.18,34,194.2307849,193.1609116,1.069873333,192.0910383,193.1609116,193.1609116,0,193.1609116,ELAC2
ENSG00000006831.9,34,89.39390212,65.53276392,23.8611382,41.67162572,65.53276392,65.53276392,0,65.53276392,ADIPOR2
ENSG00000007168.12,34,206.4002515,52.57340976,153.8268417,-101.2534319,52.57340976,52.57340976,0,52.57340976,PAFAH1B1
ENSG00000007202.14,34,234.3161316,170.4251722,63.89095935,106.5342129,170.4251722,170.4251722,0,170.4251722,KIAA0100
ENSG00000007237.18,72,107.3320237,105.5638556,1.768168093,103.7956875,181.7726181,181.7726181,0,181.7726181,GAS7
ENSG00000007255.10,34,42.81896861,42.78560413,0.033364486,42.75223964,42.78560413,42.78560413,0,42.78560413,TRAPPC6A
ENSG00000007264.14,34,43.54407659,43.52814741,0.015929181,43.51221823,43.52814741,43.52814741,0,43.52814741,MATK
ENSG00000007376.7,34,110.1887376,66.44608212,43.74265546,22.70342667,66.44608212,66.44608212,0,66.44608212,RPUSD1
ENSG00000007392.16,34,24.28200973,24.18980326,0.092206465,24.0975968,24.18980326,24.18980326,0,24.18980326,LUC7L
