gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000168092.13,463.056228886012,463.056228886012,0,463.056228886012,72
ENSG00000136451.8,453.158493390188,453.158493390188,0,453.158493390188,72
ENSG00000119396.10,453.134463578686,453.134463578686,0,453.134463578686,72
ENSG00000114978.17,446.23501547549,446.23501547549,0,446.23501547549,72
ENSG00000074603.18,445.556449160004,445.556449160004,0,445.556449160004,72
ENSG00000162869.15,443.640661773778,443.640661773778,0,443.640661773778,72
ENSG00000138592.13,442.87893450255,442.87893450255,0,442.87893450255,72
ENSG00000129515.18,440.12438450772,440.12438450772,0,440.12438450772,72
ENSG00000275052.4,436.832806612434,436.832806612434,0,436.832806612434,72
ENSG00000196504.15,434.720490590669,434.720490590669,0,434.720490590669,72
ENSG00000157538.13,434.512319597065,434.512319597065,0,434.512319597065,72
ENSG00000078142.12,429.875960624471,429.875960624471,0,429.875960624471,72
ENSG00000139697.13,428.760243257162,428.760243257162,0,428.760243257162,72
ENSG00000153339.13,428.612753194266,428.612753194266,0,428.612753194266,72
ENSG00000110066.14,427.710220791794,427.710220791794,0,427.710220791794,72
ENSG00000144635.8,427.265265524373,427.265265524373,0,427.265265524373,72
ENSG00000163510.13,426.623373218489,426.623373218489,0,426.623373218489,72
ENSG00000143337.18,426.029533391792,426.029533391792,0,426.029533391792,72
ENSG00000090989.17,424.949273282459,424.949273282459,0,424.949273282459,72
ENSG00000148358.19,424.815631457622,424.815631457622,0,424.815631457622,72
ENSG00000096401.7,424.265200326485,424.265200326485,0,424.265200326485,72
ENSG00000055917.15,423.266104960188,423.266104960188,0,423.266104960188,72
ENSG00000140153.17,423.170885027372,423.170885027372,0,423.170885027372,72
ENSG00000139436.20,422.733746233114,422.733746233114,0,422.733746233114,72
ENSG00000197771.12,422.557697167782,422.557697167782,0,422.557697167782,72
ENSG00000278311.4,419.11588047391,419.11588047391,0,419.11588047391,72
ENSG00000136146.14,418.046239040956,418.046239040956,0,418.046239040956,72
ENSG00000119541.9,417.427074935653,417.427074935653,0,417.427074935653,72
ENSG00000080815.18,416.346886165374,416.346886165374,0,416.346886165374,72
ENSG00000129071.9,415.71714766448,415.71714766448,0,415.71714766448,72
ENSG00000176390.11,415.516990357661,415.516990357661,0,415.516990357661,72
ENSG00000077254.14,415.331311162532,415.331311162532,0,415.331311162532,72
ENSG00000137776.16,414.722583906644,414.722583906644,0,414.722583906644,72
ENSG00000100030.14,414.667984212501,414.667984212501,0,414.667984212501,72
ENSG00000177981.10,413.586043473128,413.586043473128,0,413.586043473128,72
ENSG00000129083.12,412.246868648999,412.246868648999,0,412.246868648999,72
ENSG00000141646.13,410.549997527095,410.549997527095,0,410.549997527095,72
ENSG00000170852.10,408.143450066672,408.143450066672,0,408.143450066672,72
ENSG00000139218.17,407.094405382771,407.094405382771,0,407.094405382771,72
ENSG00000172466.15,406.784152688111,406.784152688111,1.13686837721616e-13,406.784152688111,72
ENSG00000159579.13,406.71443094384,406.71443094384,0,406.71443094384,72
ENSG00000105778.18,406.539126234437,406.539126234437,0,406.539126234437,72
ENSG00000075292.18,404.917349180547,404.917349180547,0,404.917349180547,72
ENSG00000163848.19,404.800078767742,404.800078767742,0,404.800078767742,72
ENSG00000125779.21,404.758923714029,404.758923714029,0,404.758923714029,72
ENSG00000140455.16,404.022866392945,404.022866392945,0,404.022866392945,72
ENSG00000168438.14,402.960787244387,402.960787244387,0,402.960787244387,72
ENSG00000144048.10,401.92591731487,401.92591731487,0,401.92591731487,72
ENSG00000090054.13,401.156512452003,401.156512452003,0,401.156512452003,72
ENSG00000083642.18,401.032204394881,401.032204394881,0,401.032204394881,72
ENSG00000099940.11,400.472683915808,400.472683915808,0,400.472683915808,72
ENSG00000183735.9,400.226338145304,400.226338145304,0,400.226338145304,72
ENSG00000124209.3,399.683424720978,399.683424720978,0,399.683424720978,72
ENSG00000165487.13,399.562386798651,399.562386798651,0,399.562386798651,72
