gene_id,gene,module,kTotal_output
ENSG00000001629.9,ANKIB1,34,186.1476472
ENSG00000003056.7,M6PR,34,204.5298549
ENSG00000004487.15,KDM1A,34,218.6954575
ENSG00000004975.11,DVL2,34,217.0968375
ENSG00000005194.14,CIAPIN1,34,172.8545137
ENSG00000005700.14,IBTK,34,180.0260643
ENSG00000005810.17,MYCBP2,34,179.500956
ENSG00000006194.9,ZNF263,34,217.2906025
ENSG00000006530.15,AGK,34,199.0213225
ENSG00000006695.10,COX10,34,205.0855849
ENSG00000006744.18,ELAC2,34,193.1609116
ENSG00000007202.14,KIAA0100,34,170.4251722
ENSG00000007923.15,DNAJC11,34,216.2947531
ENSG00000008838.19,MED24,34,186.9264553
ENSG00000009780.15,FAM76A,34,190.7671166
ENSG00000009954.10,BAZ1B,34,248.0142942
ENSG00000010244.18,ZNF207,34,165.1378564
ENSG00000010322.15,NISCH,34,172.8741565
ENSG00000011295.15,TTC19,34,159.0274282
ENSG00000011304.19,PTBP1,34,193.6663003
ENSG00000013523.9,ANGEL1,34,174.8379976
ENSG00000015133.18,CCDC88C,34,209.9422428
ENSG00000015171.19,ZMYND11,34,165.3158906
ENSG00000015676.17,NUDCD3,34,230.0944275
ENSG00000023516.8,AKAP11,34,183.7111096
ENSG00000025800.13,KPNA6,34,166.0975847
ENSG00000028310.17,BRD9,34,280.7936854
ENSG00000029725.16,RABEP1,34,217.0326938
ENSG00000030066.13,NUP160,34,241.5698871
ENSG00000031823.14,RANBP3,34,177.3719433
ENSG00000033050.7,ABCF2,34,207.0474159
ENSG00000035141.7,FAM136A,34,163.1095226
ENSG00000035928.15,RFC1,34,257.8264078
ENSG00000036549.12,ZZZ3,34,173.6340671
ENSG00000037474.14,NSUN2,34,218.6509118
ENSG00000038358.14,EDC4,34,233.1830316
ENSG00000039123.15,SKIV2L2,34,172.9616773
ENSG00000041802.10,LSG1,34,228.3555629
ENSG00000042088.13,TDP1,34,190.524314
ENSG00000048991.16,R3HDM1,34,197.8224427
ENSG00000050426.15,LETMD1,34,216.1719867
ENSG00000050748.17,MAPK9,34,195.5096252
ENSG00000052841.14,TTC17,34,228.2367247
ENSG00000055130.15,CUL1,34,227.6793902
ENSG00000061936.9,SFSWAP,34,160.3690471
ENSG00000062485.18,CS,34,180.1555223
ENSG00000063046.17,EIF4B,34,186.6883384
ENSG00000063244.12,U2AF2,34,181.5260725
ENSG00000063978.15,RNF4,34,186.9533482
ENSG00000064313.11,TAF2,34,200.9471389
ENSG00000064607.16,SUGP2,34,205.3895414
ENSG00000064726.9,BTBD1,34,192.0354444
ENSG00000065029.14,ZNF76,34,197.9971764
ENSG00000065150.18,IPO5,34,220.3555389
ENSG00000065427.14,KARS,34,181.1552404
ENSG00000066044.14,ELAVL1,34,239.9714783
ENSG00000066117.14,SMARCD1,34,184.9463181
ENSG00000066654.13,THUMPD1,34,178.9418423
ENSG00000067955.13,CBFB,34,159.5067433
ENSG00000068796.16,KIF2A,34,161.5665756
ENSG00000069248.11,NUP133,34,210.1560757
ENSG00000069275.12,NUCKS1,34,158.8405619
ENSG00000070047.11,PHRF1,34,197.587233
ENSG00000070061.14,IKBKAP,34,231.4424776
ENSG00000070770.8,CSNK2A2,34,212.2237319
ENSG00000070814.17,TCOF1,34,168.1535196
ENSG00000071462.11,WBSCR22,34,204.38273
ENSG00000071626.16,DAZAP1,34,215.6258312
ENSG00000071994.10,PDCD2,34,166.8965383
ENSG00000073584.18,SMARCE1,34,207.8045916
ENSG00000075711.20,DLG1,34,209.5781801
ENSG00000075856.11,SART3,34,290.1028012
ENSG00000076242.14,MLH1,34,164.2898114
ENSG00000076321.10,KLHL20,34,212.3404457
ENSG00000077097.15,TOP2B,34,175.8580079
ENSG00000077232.17,DNAJC10,34,163.7124867
ENSG00000078070.12,MCCC1,34,181.363806
ENSG00000078403.16,MLLT10,34,183.4508195
ENSG00000078808.16,SDF4,34,159.4309304
ENSG00000079134.11,THOC1,34,187.5992385
ENSG00000079974.17,RABL2B,34,191.2041408
ENSG00000081791.8,KIAA0141,34,224.6137229
ENSG00000083097.14,DOPEY1,34,163.6774925
ENSG00000083544.13,TDRD3,34,178.1836795
ENSG00000084463.7,WBP11,34,177.4432111
ENSG00000084652.15,TXLNA,34,205.3562061
ENSG00000085377.13,PREP,34,196.8203659
ENSG00000085511.19,MAP3K4,34,264.347241
ENSG00000085721.12,RRN3,34,193.9083276
ENSG00000085760.14,MTIF2,34,170.0265573
ENSG00000085788.13,DDHD2,34,167.6157357
ENSG00000085978.21,ATG16L1,34,159.5562444
ENSG00000085998.13,POMGNT1,34,193.2829173
ENSG00000086102.18,NFX1,34,281.3108111
ENSG00000086189.9,DIMT1,34,228.6387442
ENSG00000087263.16,OGFOD1,34,187.0248802
ENSG00000087269.15,NOP14,34,236.6846079
ENSG00000087470.17,DNM1L,34,209.862954
ENSG00000088205.12,DDX18,34,251.5259651
ENSG00000088247.17,KHSRP,34,215.3153898
ENSG00000088876.11,ZNF343,34,169.0267622
ENSG00000089006.16,SNX5,34,187.9091628
ENSG00000089022.13,MAPKAPK5,34,220.3319214
ENSG00000089053.12,ANAPC5,34,171.9354185
ENSG00000089094.18,KDM2B,34,206.072092
ENSG00000089154.10,GCN1,34,245.0765667
ENSG00000090470.14,PDCD7,34,254.7196406
ENSG00000090615.14,GOLGA3,34,186.5898108
ENSG00000090905.18,TNRC6A,34,189.1261037
ENSG00000092201.9,SUPT16H,34,209.6469409
ENSG00000092439.13,TRPM7,34,212.1902731
ENSG00000094880.10,CDC23,34,228.0719913
ENSG00000095319.14,NUP188,34,168.1609872
ENSG00000099821.13,POLRMT,34,203.4568677
ENSG00000099899.14,TRMT2A,34,190.2855858
ENSG00000099904.15,ZDHHC8,34,191.8376201
ENSG00000099949.18,LZTR1,34,166.4669759
ENSG00000100023.18,PPIL2,34,233.2026059
ENSG00000100099.20,HPS4,34,175.0411756
ENSG00000100105.17,PATZ1,34,177.9316389
ENSG00000100138.13,SNU13,34,195.4487091
ENSG00000100150.16,DEPDC5,34,231.0540382
ENSG00000100324.13,TAB1,34,164.731787
ENSG00000100353.17,EIF3D,34,185.5803965
ENSG00000100395.14,L3MBTL2,34,219.869093
