gene_id,gene,module,kTotal_input
ENSG00000001629.9,ANKIB1,34,224.3834788
ENSG00000001631.15,KRIT1,34,267.6648988
ENSG00000003056.7,M6PR,34,235.1759039
ENSG00000004487.15,KDM1A,34,220.6845546
ENSG00000004766.15,VPS50,34,161.216096
ENSG00000004897.11,CDC27,34,177.1666888
ENSG00000004975.11,DVL2,34,219.0245633
ENSG00000005100.12,DHX33,34,240.8847048
ENSG00000005194.14,CIAPIN1,34,200.9989039
ENSG00000005700.14,IBTK,34,236.8561459
ENSG00000005801.16,ZNF195,34,189.7365255
ENSG00000005810.17,MYCBP2,34,211.0347266
ENSG00000006194.9,ZNF263,34,239.4603152
ENSG00000006451.7,RALA,34,191.0152351
ENSG00000006530.15,AGK,34,200.5201307
ENSG00000006695.10,COX10,34,207.0138297
ENSG00000006744.18,ELAC2,34,194.2307849
ENSG00000007168.12,PAFAH1B1,34,206.4002515
ENSG00000007202.14,KIAA0100,34,234.3161316
ENSG00000007923.15,DNAJC11,34,220.7248791
ENSG00000008838.19,MED24,34,187.8831176
ENSG00000009335.17,UBE3C,34,319.7934156
ENSG00000009780.15,FAM76A,34,236.3527117
ENSG00000009954.10,BAZ1B,34,258.7717048
ENSG00000010244.18,ZNF207,34,229.7471581
ENSG00000010322.15,NISCH,34,183.4479961
ENSG00000011007.12,ELOA,34,199.9599033
ENSG00000011260.13,UTP18,34,178.4427079
ENSG00000011275.18,RNF216,34,200.8848036
ENSG00000011295.15,TTC19,34,164.1025655
ENSG00000011304.19,PTBP1,34,197.7521565
ENSG00000011405.13,PIK3C2A,34,186.0731373
ENSG00000012963.14,UBR7,34,307.0323171
ENSG00000013288.8,MAN2B2,34,227.1999288
ENSG00000013523.9,ANGEL1,34,179.7695007
ENSG00000015133.18,CCDC88C,34,210.9427155
ENSG00000015171.19,ZMYND11,34,171.2298027
ENSG00000015676.17,NUDCD3,34,248.4274228
ENSG00000017260.19,ATP2C1,34,266.0402691
ENSG00000018510.13,AGPS,34,168.2539663
ENSG00000020922.12,MRE11,34,191.6994921
ENSG00000021776.10,AQR,34,265.5461722
ENSG00000023228.13,NDUFS1,34,249.2666846
ENSG00000023516.8,AKAP11,34,209.7128685
ENSG00000023734.10,STRAP,34,233.6743999
ENSG00000025800.13,KPNA6,34,226.8129762
ENSG00000028310.17,BRD9,34,293.6920458
ENSG00000029725.16,RABEP1,34,327.5488901
ENSG00000030066.13,NUP160,34,266.9330671
ENSG00000031823.14,RANBP3,34,232.4832557
ENSG00000033050.7,ABCF2,34,213.9859391
ENSG00000035141.7,FAM136A,34,168.41433
ENSG00000035928.15,RFC1,34,289.9058901
ENSG00000036549.12,ZZZ3,34,199.265321
ENSG00000037474.14,NSUN2,34,287.0103717
ENSG00000038358.14,EDC4,34,237.5885236
ENSG00000039123.15,SKIV2L2,34,286.003814
ENSG00000041802.10,LSG1,34,233.4302002
ENSG00000042088.13,TDP1,34,192.4189844
ENSG00000047188.15,YTHDC2,34,201.7050932
ENSG00000047346.12,FAM214A,34,159.9161505
ENSG00000048405.9,ZNF800,34,188.5801781
ENSG00000048544.5,MRPS10,34,209.8914595
ENSG00000048991.16,R3HDM1,34,202.5255044
ENSG00000049656.13,CLPTM1L,34,199.766098
ENSG00000050426.15,LETMD1,34,223.7937394
ENSG00000050748.17,MAPK9,34,208.104914
ENSG00000052841.14,TTC17,34,329.6938693
ENSG00000054611.13,TBC1D22A,34,178.6514974
ENSG00000054983.16,GALC,34,175.4345114
ENSG00000055070.16,SZRD1,34,195.7195904
ENSG00000055130.15,CUL1,34,245.2789625
ENSG00000060339.13,CCAR1,34,234.3282333
ENSG00000060688.12,SNRNP40,34,173.7756393
ENSG00000061936.9,SFSWAP,34,192.0921733
ENSG00000062485.18,CS,34,187.6273215
ENSG00000063046.17,EIF4B,34,194.3319294
ENSG00000063244.12,U2AF2,34,188.9825713
ENSG00000063322.13,MED29,34,199.1329981
ENSG00000063978.15,RNF4,34,267.7985074
ENSG00000064313.11,TAF2,34,280.162162
ENSG00000064607.16,SUGP2,34,214.4217368
ENSG00000064703.11,DDX20,34,199.146824
ENSG00000064726.9,BTBD1,34,310.9214298
ENSG00000064933.17,PMS1,34,159.9788684
ENSG00000065000.15,AP3D1,34,218.255281
ENSG00000065029.14,ZNF76,34,198.8067708
ENSG00000065150.18,IPO5,34,224.6892512
ENSG00000065427.14,KARS,34,181.7769169
ENSG00000066044.14,ELAVL1,34,246.2144827
ENSG00000066117.14,SMARCD1,34,194.4426014
ENSG00000066654.13,THUMPD1,34,243.4971166
ENSG00000067167.7,TRAM1,34,254.700444
ENSG00000067248.9,DHX29,34,201.0198002
ENSG00000067704.9,IARS2,34,219.4766623
ENSG00000067955.13,CBFB,34,218.1605593
ENSG00000068120.14,COASY,34,203.281038
ENSG00000068796.16,KIF2A,34,188.9009301
ENSG00000068912.13,ERLEC1,34,203.7424865
ENSG00000069248.11,NUP133,34,287.9830367
