gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000000419.12,0.242740520977425,2.53968769939916,0.0111164037641416,0.0955788859531242,0.0755792468643065,DPM1
ENSG00000000457.13,0.0593967951787033,1.09662908022761,0.27284096292391,0.0541630677588589,0.464537548421425,SCYL3
ENSG00000000938.12,-0.0859136567873291,-0.756708513407644,0.449249756699796,0.113535998690485,0.627304394381104,FGR
ENSG00000001036.13,0.313906844825594,2.55154100238485,0.010745657475046,0.12302637681785,0.0740946522122118,FUCA2
ENSG00000001167.14,-0.054898576947053,-0.828711640052913,0.407295604637078,0.0662456930658627,0.589700089528471,NFYA
ENSG00000001461.16,0.106003038862146,0.635562780989737,0.525082028456247,0.166786102070155,0.68800052465379,NIPAL3
ENSG00000001629.9,-0.0053910582963231,-0.0264661477485469,0.978886282122071,0.20369637272274,0.988421672539783,ANKIB1
ENSG00000001631.15,0.281369348833987,2.7175146784759,0.00659346561716309,0.103539219516485,0.0561851091976572,KRIT1
ENSG00000002016.17,-0.0208231970671233,-0.0995438783366817,0.920709276467911,0.209186113853171,0.957053244423073,RAD52
ENSG00000002330.13,0.366238204208105,2.42837771103045,0.0151913436303714,0.150815996434384,0.0883014322956051,BAD
ENSG00000002822.15,0.104415321376952,1.29427951049648,0.195611212381468,0.0806744760541705,0.378495354684805,MAD1L1
ENSG00000002834.17,0.0846107848324307,1.17678374480658,0.239321494563387,0.0719000285361163,0.426879485728507,LASP1
ENSG00000002919.14,-0.0480438154326865,-0.713178787267615,0.47575869626236,0.0673657381436646,0.649764503617823,SNX11
ENSG00000003056.7,0.00251775292669201,0.0487206982334159,0.961143258413382,0.0516772751209293,0.978833744950527,M6PR
ENSG00000003393.14,0.0152882580980223,0.247193234425852,0.804765866736353,0.0618473969707621,0.885307319009134,ALS2
ENSG00000003400.14,0.0317630995672017,0.586900992561398,0.557288964117037,0.0541200304136117,0.712734550547308,CASP10
ENSG00000003402.19,0.110139361411669,1.10464165741528,0.269352527463048,0.0997059640765146,0.461191248531723,CFLAR
ENSG00000003509.15,-0.130962314507278,-0.549517873928692,0.582667477895028,0.238322210651645,0.73069892442303,NDUFAF7
ENSG00000003756.16,0.26969071459571,0.955117214660177,0.339551116718091,0.282363997273008,0.530038904842632,RBM5
ENSG00000004059.10,0.68161660806837,2.19035029685806,0.0285314244161727,0.311190684451757,0.122070968936279,ARF5
ENSG00000004139.13,0.246010160017472,2.2453853267048,0.0247742156466753,0.109562557967947,0.112771568610686,SARM1
ENSG00000004142.11,0.382116747251385,2.10723265448875,0.0351325832792946,0.181335813317725,0.138012855729108,POLDIP2
ENSG00000004455.16,1.77848591022864,2.96787605744233,0.00300871402385015,0.599245344416881,0.0382562502688994,AK2
ENSG00000004487.15,0.012251451235584,0.180153344024516,0.857037354192344,0.0680056831690938,0.917902026351178,KDM1A
ENSG00000004534.14,-0.00330177907765507,-0.103655941248986,0.917445335408827,0.0318532545059241,0.954523316111603,RBM6
ENSG00000004660.14,0.289408934105683,2.98374699705351,0.00285716326596379,0.0969951320911183,0.0375341833790512,CAMKK1
ENSG00000004700.15,0.128503630839578,1.1113443597719,0.266457986209293,0.115628994478321,0.457351592762084,RECQL
ENSG00000004766.15,0.647318575670554,3.74181454773759,0.000184145099061633,0.172995900093964,0.0131021514316049,VPS50
ENSG00000004776.12,-0.0337454308764814,-0.271737884842531,0.785831512374312,0.1241837548564,0.873632127997996,HSPB6
ENSG00000004779.9,0.495031407286552,3.53594021098051,0.000408931663965439,0.139999937145227,0.016415399001044,NDUFAB1
ENSG00000004864.13,0.0359576625421455,0.304068229966209,0.761084869026626,0.118255243391069,0.859539924487525,SLC25A13
ENSG00000004897.11,0.415713627741281,1.49923780080922,0.1338566514258,0.277283315239849,0.300233393187038,CDC27
ENSG00000004975.11,0.310924666779929,2.8408139590493,0.00451273474888509,0.10944914776608,0.0477452000757364,DVL2
ENSG00000005007.12,0.333567698985568,2.20313727055759,0.0276172490917583,0.151405771870559,0.119899464310119,UPF1
ENSG00000005020.12,0.033003808685626,1.33045438709875,0.183411564816888,0.0248064187736608,0.363406074107306,SKAP2
ENSG00000005059.15,0.252789753308671,3.6233086618441,0.000292901818037654,0.0697676562780086,0.0151808416956351,MCUB
ENSG00000005075.15,-0.176481455292128,-0.519172591980543,0.603656659485651,0.339928297483667,0.746448661988635,POLR2J
ENSG00000005100.12,0.11919940509968,0.473937475194029,0.635559146261572,0.251508714416137,0.770480214468692,DHX33
ENSG00000005156.11,0.219463007861255,1.0860805291078,0.277480436413636,0.202068817163623,0.46996634825052,LIG3
ENSG00000005175.9,0.279370308831917,2.81151829620367,0.00494442202440289,0.0993663492103692,0.0495900293548423,RPAP3
ENSG00000005194.14,0.120875505609535,2.26336771281842,0.0236432538672729,0.05340515592096,0.110070839067139,CIAPIN1
ENSG00000005206.16,0.262625151189316,1.92973751176669,0.053679376740729,0.136093717196222,0.174229257284911,SPPL2B
ENSG00000005238.19,-0.077569199296522,-0.328513081995344,0.742533494914086,0.236122101516863,0.846056322506115,FAM214B
ENSG00000005339.14,-0.0161189696157107,-0.0598938301740161,0.952241888622161,0.269125710759831,0.973521701114466,CREBBP
ENSG00000005379.15,-0.0434182179172871,-0.612853483820043,0.539992957434838,0.0708460000041973,0.700099760085943,TSPOAP1
ENSG00000005436.13,0.655743252587549,2.72144207645333,0.00651571239852001,0.240954330155039,0.055988634660525,GCFC2
ENSG00000005448.16,0.411756751985219,1.87116162307814,0.061363998773996,0.220054081329363,0.18862979953463,WDR54
ENSG00000005469.11,0.372131984548342,2.33131683803942,0.019764648723966,0.159623084462983,0.10052963254693,CROT
ENSG00000005483.20,-0.162439409812542,-1.52990166155787,0.126085861352772,0.106176373223317,0.291013844029834,KMT2E
