Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Crohn Disease,C0010346,NOD2,64127,Q9HC29,nucleotide binding oligomerization domain containing 2,Enzyme,434,0.423,0.923,1.98E-30,1,moderate,0.937,714,75,1998,2019
Crohn Disease,C0010346,IL23R,149233,Q5VWK5,interleukin 23 receptor,Signaling,306,0.466,0.769,0.00055961,0.7,,0.95,120,29,2006,2020
Crohn Disease,C0010346,HLA-DRB1,3123,P01911,"major histocompatibility complex, class II, DR beta 1",Immune response,1018,0.333,0.923,0.0010997,0.7,,0.88,25,5,1994,2019
Crohn Disease,C0010346,IRGM,345611,A1A4Y4,immunity related GTPase M,,57,0.617,0.538,,0.7,,0.939,66,11,2007,2020
Crohn Disease,C0010346,IL10,3586,P22301,interleukin 10,,1679,0.281,0.923,0.0058874,0.7,strong,0.962,78,5,1996,2020
Crohn Disease,C0010346,ATG16L1,55054,Q676U5,autophagy related 16 like 1,,120,0.543,0.769,0.96452,0.7,,0.953,150,23,2001,2020
Crohn Disease,C0010346,TYK2,7297,P29597,tyrosine kinase 2,Kinase,172,0.505,0.769,4.50E-08,0.62,,0.8,5,4,2010,2016
Crohn Disease,C0010346,IL12B,3593,P29460,interleukin 12B,Signaling,249,0.48,0.885,0.00011439,0.6,,1,19,3,2004,2018
Crohn Disease,C0010346,LRRK2,120892,Q5S007,leucine rich repeat kinase 2,Kinase,231,0.51,0.808,2.58E-30,0.5,,1,24,10,2008,2019
Crohn Disease,C0010346,FUT2,2524,Q10981,fucosyltransferase 2,Enzyme,126,0.552,0.731,5.32E-14,0.5,,1,17,6,2010,2020
Crohn Disease,C0010346,JAK2,3717,O60674,Janus kinase 2,Kinase,644,0.385,0.885,0.65372,0.5,,1,12,3,2008,2018
Crohn Disease,C0010346,MST1,4485,P26927,macrophage stimulating 1,Enzyme,281,0.465,0.885,4.78E-19,0.5,,1,17,1,2008,2018
Crohn Disease,C0010346,PTPN2,5771,P17706,protein tyrosine phosphatase non-receptor type 2,,134,0.538,0.692,0.99953,0.5,,1,31,8,2007,2018
Crohn Disease,C0010346,SLC22A4,6583,Q9H015,solute carrier family 22 member 4,Transporter,90,0.603,0.769,1.83E-08,0.5,,0.896,48,5,2003,2017
Crohn Disease,C0010346,STAT3,6774,P40763,signal transducer and activator of transcription 3,Nucleic acid binding,1193,0.32,0.923,1,0.5,strong,0.969,32,9,2008,2019
Crohn Disease,C0010346,TLR4,7099,O00206,toll like receptor 4,,1174,0.321,0.962,4.61E-09,0.5,,0.94,50,6,2004,2019
Crohn Disease,C0010346,IL2RA,3559,P01589,interleukin 2 receptor subunit alpha,Receptor,540,0.389,0.885,0.054709,0.46,,1,11,6,1999,2018
Crohn Disease,C0010346,NCF4,4689,Q15080,neutrophil cytosolic factor 4,,58,0.644,0.615,9.02E-08,0.45,,0.714,7,1,2007,2017
Crohn Disease,C0010346,BACH2,60468,Q9BYV9,BTB domain and CNC homolog 2,,130,0.539,0.731,0.99803,0.44,,1,8,2,2010,2018
Crohn Disease,C0010346,CCNY,219771,Q8ND76,cyclin Y,,26,0.711,0.269,0.80672,0.43,,1,4,2,2008,2011
Crohn Disease,C0010346,SMAD3,4088,P84022,SMAD family member 3,Transcription factor,470,0.415,0.923,0.79796,0.43,,1,8,3,2010,2019
Crohn Disease,C0010346,ERAP2,64167,Q6P179,endoplasmic reticulum aminopeptidase 2,Enzyme,58,0.615,0.577,1.00E-28,0.42,,1,7,6,2010,2017
Crohn Disease,C0010346,NLRP3,114548,Q96P20,NLR family pyrin domain containing 3,,805,0.361,0.962,0.00081103,0.4,,1,20,4,2002,2018
Crohn Disease,C0010346,CRP,1401,P02741,C-reactive protein,,1483,0.299,0.962,0.0036969,0.4,,0.989,94,1,2001,2020
Crohn Disease,C0010346,NKX2-3,159296,Q8TAU0,NK2 homeobox 3,Transcription factor,22,0.716,0.231,0.95047,0.4,,0.944,18,3,2007,2019
Crohn Disease,C0010346,DENND1B,163486,Q6P3S1,DENN domain containing 1B,,19,0.716,0.308,0.20408,0.4,,1,4,4,2010,2017
Crohn Disease,C0010346,DNMT3A,1788,Q9Y6K1,DNA methyltransferase 3 alpha,,350,0.445,0.846,7.35E-39,0.4,,1,2,2,2010,2016
Crohn Disease,C0010346,IFNG,3458,P01579,interferon gamma,,1519,0.288,0.962,0.47156,0.4,,0.93,43,2,1993,2020
Crohn Disease,C0010346,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.4,,0.976,42,1,1992,2019
Crohn Disease,C0010346,PPARG,5468,P37231,peroxisome proliferator activated receptor gamma,Nuclear receptor,877,0.358,0.885,0.029194,0.4,,1,11,3,2005,2017
