Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTPN22,26191,Q9Y2R2,protein tyrosine phosphatase non-receptor type 22,,400,0.438,0.846,3.4921E-21,0.9,,0.945,145,6,2004,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,INS,3630,P01308,insulin,,405,0.445,0.923,0.30091,0.7,,0.969,258,3,1982,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HNF1A,6927,P20823,HNF1 homeobox A,Nucleic acid binding,292,0.478,0.846,0.96115,0.7,strong,1,29,5,1998,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HP,3240,P00738,haptoglobin,Enzyme,464,0.412,0.885,0.00001736,0.6,,1,27,0,1995,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,IFNG,3458,P01579,interferon gamma,,1519,0.288,0.962,0.47156,0.6,,1,45,0,1994,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CASP12,100506742,Q6UXS9,caspase 12 (gene/pseudogene),,44,0.638,0.808,0.00012749,0.5,,1,2,0,2005,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,CLEC16A,23274,Q2KHT3,C-type lectin domain containing 16A,,67,0.612,0.654,0.27595,0.5,,1,28,17,2007,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DQA1,3117,P01909,"major histocompatibility complex, class II, DQ alpha 1",Immune response,427,0.416,0.846,0.023947,0.5,,0.948,191,4,1988,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DQB1,3119,P01920,"major histocompatibility complex, class II, DQ beta 1",Immune response,504,0.407,0.885,0.0089259,0.5,,0.96,174,3,1989,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,HLA-DRB1,3123,P01911,"major histocompatibility complex, class II, DR beta 1",Immune response,1018,0.333,0.923,0.0010997,0.5,,0.946,279,6,1988,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL2RA,3559,P01589,interleukin 2 receptor subunit alpha,Receptor,540,0.389,0.885,0.054709,0.5,,0.959,74,7,1984,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL10,3586,P22301,interleukin 10,,1679,0.281,0.923,0.0058874,0.5,,0.927,55,1,1998,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,FOXP3,50943,Q9BZS1,forkhead box P3,,688,0.368,0.846,0.99424,0.5,strong,0.9,40,1,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SH2B3,10019,Q9UQQ2,SH2B adaptor protein 3,,212,0.527,0.692,0.00010289,0.46,,1,11,1,2008,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,GLIS3,169792,Q8NEA6,GLIS family zinc finger 3,,105,0.59,0.654,5.5977E-08,0.44,,1,7,4,2009,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,CTSH,1512,P09668,cathepsin H,Enzyme,63,0.626,0.654,1.2518E-08,0.43,,1,6,2,2008,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,BACH2,60468,Q9BYV9,BTB domain and CNC homolog 2,,130,0.539,0.731,0.99803,0.43,,1,9,4,2008,2016
"Diabetes Mellitus, Insulin-Dependent",C0011854,TYK2,7297,P29597,tyrosine kinase 2,Kinase,172,0.505,0.769,4.4963E-08,0.43,,1,7,3,2010,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,C1QTNF6,114904,Q9BXI9,C1q and TNF related 6,,33,0.682,0.577,9.0082E-06,0.41,,1,5,3,2008,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD69,969,Q07108,CD69 molecule,,206,0.488,0.923,0.029691,0.41,,1,3,3,2009,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CRP,1401,P02741,C-reactive protein,,1483,0.299,0.962,0.0036969,0.4,,1,19,0,2007,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IGF1,3479,P05019,insulin like growth factor 1,,1206,0.318,0.885,0.2716,0.4,,0.955,22,0,1994,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.4,,0.895,38,2,1993,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,NOS3,4846,P29474,nitric oxide synthase 3,,706,0.378,0.885,6.7246E-07,0.4,,1,13,2,2000,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,PRKCQ,5588,Q04759,protein kinase C theta,Kinase,53,0.636,0.654,0.2972,0.4,,1,2,1,2008,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.4,,0.95,101,2,1989,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,CAT,847,P04040,catalase,Enzyme,794,0.359,0.962,1.6263E-10,0.4,,0.923,13,3,2001,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,KCNJ11,3767,Q14654,potassium inwardly rectifying channel subfamily J member 11,Ion channel,218,0.529,0.615,0.010894,0.38,,0.889,9,1,2004,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,PAX4,5078,O43316,paired box 4,,63,0.644,0.423,0.00042273,0.37,,0.571,7,1,2004,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC29A3,55315,Q9BZD2,solute carrier family 29 member 3,Transporter,123,0.578,0.769,1.2925E-07,0.36,,1,7,0,2009,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC11A1,6556,P49279,solute carrier family 11 member 1,Transporter,141,0.525,0.846,1.5485E-19,0.35,,0.833,6,0,2002,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,STAT3,6774,P40763,signal transducer and activator of transcription 3,Nucleic acid binding,1193,0.32,0.923,1,0.35,,1,6,0,2014,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL27,246778,Q8NEV9,interleukin 27,,286,0.457,0.808,0.78232,0.34,,0.8,5,1,2009,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,FGF21,26291,Q9NSA1,fibroblast growth factor 21,Signaling,236,0.485,0.769,0.029439,0.34,,1,5,0,2013,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CP,1356,P00450,ceruloplasmin,Enzyme,283,0.466,0.846,4.2013E-10,0.33,,1,4,0,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,ITPR3,3710,Q14573,"inositol 1,4,5-trisphosphate receptor type 3",Ion channel,112,0.555,0.808,2.5541E-22,0.33,,0.667,3,1,2006,2010
"Diabetes Mellitus, Insulin-Dependent",C0011854,ABCC8,6833,Q09428,ATP binding cassette subfamily C member 8,Transporter,317,0.474,0.846,7.9571E-24,0.33,,1,4,0,2004,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,NOS1,4842,P29475,nitric oxide synthase 1,,521,0.408,0.885,1,0.32,,1,3,0,2008,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,HSD11B2,3291,P80365,hydroxysteroid 11-beta dehydrogenase 2,Enzyme,163,0.532,0.808,0.11777,0.31,,1,2,0,2002,2006
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL20,50604,Q9NYY1,interleukin 20,,111,0.556,0.769,1.3447E-06,0.31,,0.5,2,0,2009,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,PRSS1,5644,P07477,serine protease 1,Enzyme,117,0.563,0.692,4.1384E-11,0.31,,1,2,0,1985,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,CHRM2,1129,P08172,cholinergic receptor muscarinic 2,G-protein coupled receptor,91,0.585,0.615,0.18197,0.3,,1,1,0,2008,2008
"Diabetes Mellitus, Insulin-Dependent",C0011854,CCR5,1234,P51681,C-C motif chemokine receptor 5 (gene/pseudogene),G-protein coupled receptor,508,0.398,0.885,4.3094E-10,0.3,,0.933,15,0,1999,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,DDIT3,1649,P35638,DNA damage inducible transcript 3,,264,0.467,0.846,0.59066,0.3,,1,1,0,2013,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,GAD2,2572,Q05329,glutamate decarboxylase 2,Enzyme,173,0.529,0.731,0.75083,0.3,,0.938,146,0,1993,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL19,29949,Q9UHD0,interleukin 19,,103,0.558,0.769,0.00004325,0.3,,1,1,1,2009,2009
"Diabetes Mellitus, Insulin-Dependent",C0011854,ICA1,3382,Q05084,islet cell autoantigen 1,,34,0.686,0.5,0.00099069,0.3,,1,11,0,1993,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,IGF2,3481,P01344,insulin like growth factor 2,,604,0.39,0.885,0.044127,0.3,,0.909,11,4,1995,2020
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL4,3565,P05112,interleukin 4,,996,0.332,0.962,0.0047372,0.3,,0.919,37,1,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CXCL10,3627,P02778,C-X-C motif chemokine ligand 10,Signaling,631,0.378,0.885,0.36865,0.3,,0.818,11,3,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,NEUROD1,4760,Q13562,neuronal differentiation 1,Enzyme,135,0.543,0.808,0.77109,0.3,,0.727,11,2,1997,2006
"Diabetes Mellitus, Insulin-Dependent",C0011854,G6PC2,57818,Q9NQR9,glucose-6-phosphatase catalytic subunit 2,,26,0.751,0.231,2.9565E-16,0.3,,1,11,1,2006,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTPRN,5798,Q16849,protein tyrosine phosphatase receptor type N,,23,0.736,0.346,7.9561E-07,0.3,,0.926,27,0,1994,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,PTPRN2,5799,Q92932,protein tyrosine phosphatase receptor type N2,,40,0.678,0.577,5.392E-07,0.3,,0.933,15,0,1996,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,CCL20,6364,P78556,C-C motif chemokine ligand 20,Signaling,242,0.474,0.846,0.00024242,0.3,,1,1,0,2011,2011
"Diabetes Mellitus, Insulin-Dependent",C0011854,STAT4,6775,Q14765,signal transducer and activator of transcription 4,Nucleic acid binding,316,0.471,0.769,0.7662,0.3,,0.733,15,6,2003,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,AIFM1,9131,O95831,apoptosis inducing factor mitochondria associated 1,Enzyme,205,0.527,0.769,0.99795,0.3,,1,1,0,2013,2013
"Diabetes Mellitus, Insulin-Dependent",C0011854,GH1,2688,P01241,growth hormone 1,Signaling,686,0.373,0.923,0.030057,0.29,,1,10,0,1975,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,CASP3,836,P42574,caspase 3,Enzyme,819,0.351,0.923,0.10017,0.29,,1,10,0,2005,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,APOC3,345,P02656,apolipoprotein C3,,153,0.531,0.731,0.010024,0.27,,1,8,0,2004,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,PDX1,3651,P52945,pancreatic and duodenal homeobox 1,,185,0.53,0.654,0.017775,0.26,,1,6,0,1998,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,NOS2,4843,P35228,nitric oxide synthase 2,,783,0.364,0.923,4.0277E-15,0.25,,1,5,0,2000,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,GIMAP5,55340,Q96F15,"GTPase, IMAP family member 5",,15,0.78,0.346,0.096506,0.25,,1,7,3,2002,2015
"Diabetes Mellitus, Insulin-Dependent",C0011854,CBLB,868,Q13191,Cbl proto-oncogene B,Enzyme,33,0.691,0.423,0.99825,0.25,,1,6,3,2002,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,AIF1,199,P55008,allograft inflammatory factor 1,Calcium-binding protein,166,0.521,0.808,1.8793E-06,0.24,,1,5,0,1997,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,IL1R1,3554,P14778,interleukin 1 receptor type 1,Receptor,184,0.509,0.769,0.15126,0.24,,1,5,0,1995,2005
"Diabetes Mellitus, Insulin-Dependent",C0011854,LGALS3,3958,P17931,galectin 3,Signaling,557,0.392,0.846,0.000023207,0.24,,0.75,4,0,2006,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD40LG,959,P29965,CD40 ligand,Signaling,453,0.414,0.846,0.72079,0.23,,0.8,5,0,2002,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,CDK4,1019,P11802,cyclin dependent kinase 4,Kinase,433,0.412,0.808,0.062909,0.22,,1,3,1,1999,2004
"Diabetes Mellitus, Insulin-Dependent",C0011854,EGFR,1956,P00533,epidermal growth factor receptor,Kinase,1394,0.295,0.885,0.36837,0.22,,1,3,0,1988,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,GSTT1,2952,P30711,glutathione S-transferase theta 1,,541,0.393,0.923,0.00014834,0.22,,1,3,0,2008,2017
"Diabetes Mellitus, Insulin-Dependent",C0011854,FASLG,356,P48023,Fas ligand,Signaling,398,0.43,0.885,0.18345,0.22,,0.667,3,1,2002,2007
"Diabetes Mellitus, Insulin-Dependent",C0011854,SELL,6402,P14151,selectin L,,171,0.505,0.846,4.9624E-07,0.22,,1,3,1,2000,2004
"Diabetes Mellitus, Insulin-Dependent",C0011854,VWF,7450,P04275,von Willebrand factor,Enzyme modulator,498,0.408,0.885,3.2187E-25,0.22,,1,3,1,2000,2004
"Diabetes Mellitus, Insulin-Dependent",C0011854,CD38,952,P28907,CD38 molecule,Enzyme,473,0.407,0.885,2.3129E-06,0.22,,1,3,0,2005,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,GAL,51083,P22466,galanin and GMAP prepropeptide,,226,0.493,0.846,4.3885E-06,0.21,,1,2,0,2000,2006
"Diabetes Mellitus, Insulin-Dependent",C0011854,PRF1,5551,P14222,perforin 1,,163,0.54,0.692,5.4875E-06,0.21,,1,2,3,2000,2008
"Diabetes Mellitus, Insulin-Dependent",C0011854,CCL11,6356,P51671,C-C motif chemokine ligand 11,Signaling,250,0.473,0.885,0.010211,0.21,,1,2,0,2012,2014
"Diabetes Mellitus, Insulin-Dependent",C0011854,SLC18A2,6571,Q05940,solute carrier family 18 member A2,Transporter,150,0.554,0.769,0.075523,0.21,,1,2,0,2006,2018
"Diabetes Mellitus, Insulin-Dependent",C0011854,TNFSF4,7292,P23510,TNF superfamily member 4,Signaling,129,0.54,0.808,0.049378,0.21,,1,2,0,2003,2019
"Diabetes Mellitus, Insulin-Dependent",C0011854,DOCK8,81704,Q8NF50,dedicator of cytokinesis 8,Enzyme modulator,112,0.578,0.731,1.487E-11,0.21,,1,1,0,2015,2015
