gene,beta,t,p,se(beta),p_corr,gene_symbol
ENSG00000188976.10,0.37500149846730796,0.30128700428920296,0.7631956498768921,1.2446653626896798,0.9814256620127185,NOC2L
ENSG00000187961.13,0.102745930599453,0.0978905825698505,0.922019178091063,1.0495997459831,0.9905470130557509,KLHL17
ENSG00000131591.17,0.184532530477331,0.17042896237645902,0.864672796634473,1.08275335309334,0.989714013421155,C1orf159
ENSG00000186891.13,0.213844207677867,0.599985598482077,0.548515833421796,0.35641556767175503,0.942372649598442,TNFRSF18
ENSG00000186827.10,0.42978198914,0.636554198794666,0.524415266815526,0.675169514165179,0.9399342226825742,TNFRSF4
ENSG00000078808.16,-1.30984815985088,-0.690580087532797,0.489829464597665,1.89673606797803,0.9382858742772773,SDF4
ENSG00000162572.20,-0.326453483046342,-0.31081759950589805,0.7559392894515631,1.05030565696827,0.9803069391504021,SCNN1D
ENSG00000131584.18,-0.46274279516604,-0.43749411235911295,0.661753045007442,1.05771205164517,0.9712194618288035,ACAP3
ENSG00000169972.11,-1.1950399956372,-0.968423433135552,0.33283294111170003,1.2340056578018899,0.8846705481902214,PUSL1
ENSG00000127054.20,-0.40459551545848793,-0.26201036384788395,0.793313452044245,1.54419660931193,0.9818236106431695,INTS11
ENSG00000240731.1,-1.2745208964639299,-0.812296806234942,0.41662134272206797,1.5690334945072901,0.9207423478743504,RP5-890O3.9
ENSG00000107404.19,-0.344081034148921,-0.312630641979395,0.754561295313462,1.10059919901133,0.9800509603219638,DVL1
ENSG00000221978.11,-1.8312616670158797,-1.33666642870762,0.18133154486398,1.3700214411657399,0.7936032403470339,CCNL2
ENSG00000224870.6,-0.9995253103714491,-1.3586084385443797,0.17427069974897696,0.7356978523130201,0.7889219920897996,RP4-758J18.2
ENSG00000242485.5,-1.04950815808296,-0.8026621618162909,0.42217002869953707,1.30753411336607,0.923676963453159,MRPL20
ENSG00000160072.19,-0.17493479612309304,-0.18925420255291897,0.849893587670601,0.924337709616661,0.987546980121927,ATAD3B
ENSG00000197785.13,-0.26754350646990804,-0.22844151078362698,0.8193030215217958,1.1711685216585601,0.983429368978509,ATAD3A
ENSG00000160075.11,-0.665160287243594,-0.759508203966355,0.447548608335215,0.8757776200045619,0.9299171289153313,SSU72
ENSG00000197530.12,-1.52599150902888,-1.00392585915633,0.31541435122687106,1.52002410846482,0.8784839792241184,MIB2
ENSG00000248333.8,-1.83581163943003,-1.7400168720152598,0.0818560554078154,1.05505393019771,0.7077056768418248,CDK11B
ENSG00000078369.17,-9.05723393192666,-3.36673677134745,0.0007606325464124769,2.69021148579481,0.11965867773241015,GNB1
ENSG00000162585.16,-6.9291624582590305,-2.22266240909831,0.0262385724848949,3.11750557794787,0.5608794683523755,FAAP20
ENSG00000157911.9,0.6380637490551989,1.17548896672669,0.239799148746165,0.5428070931469289,0.8336177712887296,PEX10
ENSG00000149527.17,0.193306324582151,0.15552851770565196,0.8764046735941291,1.24289954944466,0.989714013421155,PLCH2
ENSG00000157881.13,-7.59049386789438,-2.34993837382986,0.0187765194993758,3.2300820959503,0.5130588519811804,PANK4
ENSG00000157873.17,-1.7797861431812099,-1.4143181193657,0.15726851919386403,1.25840581324053,0.773099108584174,TNFRSF14
ENSG00000157870.14,1.3619740699758798,1.14464180768836,0.252357566264136,1.18986923317647,0.8417984931878635,FAM213B
ENSG00000227372.11,-1.09402804021463,-0.595879795994004,0.551255531311422,1.83598780755714,0.9435770509819386,TP73-AS1
ENSG00000130764.9,0.484031280569496,0.500342497702399,0.616833934973942,0.9673998966551809,0.9624261849250311,LRRC47
ENSG00000116198.12,0.824076132907219,0.6964228711492979,0.486164044004823,1.1832984915433,0.9366434301313481,CEP104
ENSG00000169598.15,-0.0779359720859829,-0.0534446409401457,0.957377637687596,1.45825607048733,0.9940081017380024,DFFB
ENSG00000198912.10,1.2245436843238502,0.547376186466046,0.584120312119776,2.23711537805419,0.9551923664125637,C1orf174
ENSG00000131697.17,0.0790786268893666,0.0536108945795014,0.957245176377249,1.47504770270338,0.9940081017380024,NPHP4
ENSG00000069424.14,0.629559848482536,0.692804175016945,0.488432451788009,0.9087125499310659,0.937476030686253,KCNAB2
ENSG00000116251.9,0.49702434858657396,0.39340981974092404,0.6940168180767851,1.26337555304004,0.9730370083398364,RPL22
ENSG00000116237.15,0.559775529491901,0.812000414200913,0.41679139382219893,0.6893783792496879,0.9207423478743504,ICMT
ENSG00000158292.6,0.708326354411028,0.6833214636005249,0.49440373437212104,1.03659315877296,0.9389087026257115,GPR153
ENSG00000215788.9,0.545861253919658,0.801828317737562,0.422652275662235,0.680770735885033,0.923676963453159,TNFRSF25
ENSG00000162408.10,0.30617558064540196,0.46008693482787,0.645453821617098,0.66547332138425,0.9690684829596884,NOL9
ENSG00000204859.12,2.46279516621179,0.8515074471373579,0.39448752822977,2.89227671994102,0.9145031468594873,ZBTB48
ENSG00000116273.5,0.283213098855159,0.614386995109055,0.538959627463423,0.460968576987682,0.9402918032745031,PHF13
ENSG00000041988.15,0.184509554813145,0.0781671902616551,0.937695060514978,2.36044757647706,0.9905470130557509,THAP3
ENSG00000007923.15,0.308442163329604,0.218514626244196,0.8270281635603821,1.4115401272265902,0.9842536265108004,DNAJC11
ENSG00000171735.18,-0.16746703818702302,-0.146920380117711,0.883194865475051,1.1398489307803998,0.9900282950922175,CAMTA1
ENSG00000049245.12,-2.1458118672493,-0.891250408153396,0.372794847041435,2.40764194621269,0.9061128840205612,VAMP3
ENSG00000116288.12,-0.4694746402653979,-0.739444597344293,0.45963707000403903,0.634901711299955,0.9302529137070435,PARK7
ENSG00000171603.16,-0.9249473940460742,-1.3942370793618402,0.163246024312969,0.663407542187469,0.774144616258931,CLSTN1
ENSG00000178585.14,-0.150362817364335,-0.179477686666874,0.8575626363104258,0.8377800057308591,0.9886186552425478,CTNNBIP1
ENSG00000160049.11,-0.6025884050187739,-0.7653463142223119,0.444065352127423,0.7873408335820881,0.9295737759824116,DFFA
ENSG00000142655.12,-0.33094671666498904,-0.49973290422301503,0.6172631603324971,0.662247200190959,0.9624261849250311,PEX14
ENSG00000130940.14,-1.24655142906579,-1.70025766048159,0.0890824706694222,0.73315442596666,0.7278624624456682,CASZ1
ENSG00000120948.16,-0.315445794264062,-0.394662810937719,0.693091751960186,0.7992792467944041,0.9730370083398364,TARDBP
ENSG00000116649.9,0.155423405899825,0.23953529942731303,0.8106905280073309,0.6488538694355911,0.9818236106431695,SRM
ENSG00000171824.13,-0.340200358855771,-0.514537407006312,0.606876314233811,0.661177116033465,0.9592483726078456,EXOSC10
ENSG00000226849.1,-0.42133665220688393,-0.309854228507999,0.7566718111863291,1.3597899058395702,0.9803069391504021,RP4-635E18.7
ENSG00000198793.12,-1.14420249508478,-1.5975000092303702,0.110154295625955,0.7162456891853308,0.7477839250633787,MTOR
ENSG00000120942.13,0.00586994749842056,0.00818987781890357,0.993465495982845,0.7167319987206359,0.9982206695645007,UBIAD1
ENSG00000132879.13,-0.327382995493149,-0.7107482330159789,0.477240264764847,0.46061738923209994,0.933855701003119,FBXO44
ENSG00000116670.14,-0.0594266697950519,-0.14086235215842302,0.887978684157478,0.421877591027423,0.9900282950922175,MAD2L2
ENSG00000177000.10,-0.6560858672314059,-0.967334386085448,0.333376899188548,0.678241026752305,0.8846705481902214,MTHFR
ENSG00000011021.21,-1.4684062260633899,-1.62817362245698,0.103488076178014,0.901873243620975,0.7406091605501753,CLCN6
ENSG00000116691.10,-0.0896849952600587,-0.5272013732468149,0.5980537551456611,0.17011525350878,0.9572326042848203,MIIP
ENSG00000162496.8,-0.0203168758625193,-0.0695641772199782,0.9445405502757109,0.29205945753189194,0.9925495424345071,DHRS3
ENSG00000132906.17,-0.191327783430215,-0.21338802408276897,0.831024320798752,0.8966191249608431,0.9842536265108004,CASP9
ENSG00000116138.12,-0.700096398921619,-0.356056960686191,0.721797908162348,1.9662483147988399,0.9732146696517034,DNAJC16
ENSG00000197312.11,0.4228220136219121,0.18714930312080896,0.851543572691575,2.2592764523893,0.9876720892221157,DDI2
ENSG00000116786.11,0.276205165990094,0.240477169931302,0.809960359812064,1.1485712596709299,0.9818236106431695,PLEKHM2
ENSG00000116809.11,-0.7422578937880491,-0.6613423975632329,0.5083927575282771,1.1223503838903301,0.9399342226825742,ZBTB17
ENSG00000037637.10,0.7415243190672081,0.412060218467009,0.6802952860147521,1.79955328331841,0.9714663332972349,FBXO42
ENSG00000055070.16,0.70742557575936,0.7907581933306842,0.429085110316618,0.8946168142497191,0.9241048307067629,SZRD1
ENSG00000157191.19,0.5942753820262769,0.779045421230163,0.435952958982511,0.7628250751899391,0.9270273284965344,NECAP2
ENSG00000215908.10,0.40412001882637394,0.573834285253071,0.566079945538685,0.7042451613851359,0.9516419946869022,CROCCP2
ENSG00000058453.16,1.2792029447571298,2.19352829911411,0.0282693379781131,0.583171388886916,0.5708328847772137,CROCC
ENSG00000159363.17,0.722566901358635,1.57936190951969,0.114253068998642,0.45750558944300396,0.7487246284668743,ATP13A2
ENSG00000179051.13,1.2015263885015701,1.86815579953195,0.0617403577093788,0.6431617688431539,0.6607428870152736,RCC2
ENSG00000169991.10,0.0753202132812138,0.0768412859945713,0.938749806339701,0.980205007065278,0.9905470130557509,IFFO2
ENSG00000127481.14,-0.7173542602608001,-0.38044830881797403,0.703612660393351,1.8855498727003703,0.9730370083398364,UBR4
ENSG00000127463.13,0.9519994250230649,0.525863028330652,0.598983378497902,1.81035625958565,0.9572326042848203,EMC1
ENSG00000053372.4,0.440454015220005,0.626896195098719,0.5307272815616579,0.702594813405505,0.9399342226825742,MRTO4
ENSG00000053371.12,-0.37234053949374196,-0.39337975475889797,0.6940390202466249,0.946516781784942,0.9730370083398364,AKR7A2
ENSG00000040487.12,-0.59185304406528,-0.431795273048248,0.665890215382138,1.37067976656416,0.9712194618288035,PQLC2
ENSG00000077549.17,-2.08614114483665,-1.28142657740729,0.200043873932846,1.62798335980945,0.8110794125937318,CAPZB
ENSG00000173436.13,0.171569512326735,0.149000638341605,0.881553129264269,1.15146830400409,0.9900282950922175,MINOS1
ENSG00000162542.13,-0.11417917834121,-0.0888621212118743,0.9291914873110799,1.2849026872650602,0.9905470130557509,TMCO4
ENSG00000169914.5,0.748921919377293,0.540214299860986,0.5890492520838578,1.3863422711505702,0.9560956040464996,OTUD3
ENSG00000244038.9,-0.366799789134103,-0.32327764717029306,0.746484980892649,1.1346277490719399,0.9773111669493844,DDOST
ENSG00000127483.17,-0.84053973507936,-0.953578306212337,0.340297141178243,0.8814585331938051,0.8900884547061195,HP1BP3
ENSG00000075151.20,-0.42292619351714,-0.441695866666447,0.6587093010981451,0.9575054362836459,0.9711077096304204,EIF4G3
ENSG00000184677.16,-5.72534959887715,-2.08465742675393,0.0371004077168984,2.7464222780201397,0.5989978238178842,ZBTB40
ENSG00000004487.15,-0.84751178512008,-0.7787677314532021,0.43611654934266203,1.08827285837666,0.9270273284965344,KDM1A
ENSG00000169641.13,-0.300059414612108,-0.324476261729212,0.74557749130944,0.924749974044385,0.9773111669493844,LUZP1
ENSG00000125944.18,0.153014533505099,0.31925896562287703,0.749530146411006,0.47928030214144796,0.9783806295706163,HNRNPR
ENSG00000142676.12,0.7281973626348901,0.37442035056285905,0.708091604678354,1.9448658747854,0.9730370083398364,RPL11
ENSG00000011007.12,0.296717784325975,0.29772551158943605,0.765912670502286,0.996615247184961,0.9818015692814923,ELOA
ENSG00000011009.10,-0.28056021176387796,-0.452304250854769,0.6510498140342379,0.6202909020502739,0.9699136262760005,LYPLA2
ENSG00000117305.14,-0.3656793056301811,-0.5343700429030429,0.593085540895418,0.684318498925528,0.9572326042848203,HMGCL
ENSG00000189266.11,0.0608743838691851,0.0422760317116307,0.9662786521231089,1.43992662992628,0.9952308399789042,PNRC2
ENSG00000188529.14,-0.19650245558828,-0.124668281523507,0.900786169128543,1.5762024886115802,0.9900282950922175,SRSF10
ENSG00000001461.16,-1.27349894063856,-0.776157743070778,0.43765585301186605,1.64077335053067,0.9277805459886451,NIPAL3
ENSG00000117602.11,-0.457062407239268,-0.416978291182641,0.676694286551187,1.09612998303327,0.9714663332972349,RCAN3
