gene,beta,t,p,se(beta),p_corr,gene_symbol
ENSG00000188976.10,1.33422334420916,3.70421648390405,0.000212045116961889,0.360190434335242,0.012347539533549296,NOC2L
ENSG00000187961.13,-2.32838222564811,-4.34813294281785,1.3730137273625802e-05,0.5354901186942971,0.0016930687316542704,KLHL17
ENSG00000131591.17,-1.15666167081196,-1.5779637058933702,0.114573948031147,0.733009046083927,0.42268497043923153,C1orf159
ENSG00000186891.13,0.48703762532804706,2.66852090396952,0.007618603746886791,0.18251220164832202,0.10542853460434314,TNFRSF18
ENSG00000186827.10,-0.447665322172765,-3.1738906354093794,0.00150410352649906,0.141046234289992,0.04233198584889107,TNFRSF4
ENSG00000078808.16,-0.690642027537819,-3.34311458801252,0.000828436834323235,0.206586405986283,0.030840443968669518,SDF4
ENSG00000162572.20,-3.63431493028449,-3.50080805230156,0.000463849804183933,1.0381360177388599,0.021584828956059156,SCNN1D
ENSG00000131584.18,-0.373410155555721,-2.83374738525733,0.00460056836356805,0.131772562896185,0.0804918088405892,ACAP3
ENSG00000169972.11,-0.273930474789052,-2.8733049800990296,0.00406201778730648,0.0953363728133066,0.07327736933489003,PUSL1
ENSG00000127054.20,-0.783733255075597,-2.4851127068157597,0.0129510424015635,0.315371312104317,0.1431431002278071,INTS11
ENSG00000240731.1,-0.47275446844515,-3.00782577658037,0.00263123936908284,0.157174817812297,0.05824283900753638,RP5-890O3.9
ENSG00000107404.19,-0.835311278705382,-2.59597691716148,0.00943224016114947,0.32177145843759497,0.11790400224256177,DVL1
ENSG00000221978.11,-0.510528003908664,-2.21420760462547,0.0268145009859571,0.230569167426837,0.2103551370450083,CCNL2
ENSG00000224870.6,-0.107812807802245,-3.09817175240776,0.0019471854417946102,0.0347988479716974,0.0492205208898082,RP4-758J18.2
ENSG00000242485.5,-0.276268380448454,-2.77914101947179,0.00545028582536873,0.0994078308775287,0.08839176417776218,MRPL20
ENSG00000160072.19,-0.7754725623089459,-1.7659694473448602,0.0774009747835089,0.43912003317773796,0.3537316719844634,ATAD3B
ENSG00000197785.13,-1.88374086862002,-2.29309429500119,0.0218425767711554,0.8214842593810721,0.18850442966887535,ATAD3A
ENSG00000160075.11,-0.0719826481380462,-0.952104099651479,0.341044190088982,0.0756037582071075,0.6840544534828907,SSU72
ENSG00000197530.12,-0.643374711430377,-1.0565268027348,0.290727602153791,0.6089525696508721,0.6385248221076826,MIB2
ENSG00000248333.8,-0.40286753981289497,-1.1421627598305502,0.253386372250189,0.35272340683972603,0.6040453750535609,CDK11B
ENSG00000078369.17,-1.39304278660871,-1.52801433161468,0.12650897968975,0.9116686655266241,0.44421330465839365,GNB1
ENSG00000162585.16,5.25900222182058,3.1847800849278096,0.00144864049787567,1.65129210858519,0.04163154988277909,FAAP20
ENSG00000157911.9,3.83368279758844,3.18375099048296,0.0014538001546367302,1.20414027637472,0.04163154988277909,PEX10
ENSG00000149527.17,-0.5931360586183511,-0.7316030781052829,0.46441086893496203,0.810734777325519,0.7790915642313271,PLCH2
ENSG00000157881.13,0.9444391885701039,0.670848221960493,0.502317224193224,1.4078284143171298,0.8030626733364156,PANK4
ENSG00000157873.17,0.888758551609057,1.10270948990323,0.270153344297894,0.805977059004952,0.6211162749186687,TNFRSF14
ENSG00000157870.14,-1.06777052685051,-1.89540430386167,0.0580388589530324,0.5633471047180029,0.3079569268940693,FAM213B
ENSG00000227372.11,-0.0625197367592634,-0.10432017149358601,0.916915270712402,0.5993063073435191,0.9770408622345267,TP73-AS1
ENSG00000130764.9,-0.5046099476813429,-1.3198755016703998,0.18687658816820998,0.382316322291551,0.5325100778598736,LRRC47
ENSG00000116198.12,-0.121195199305631,-0.645395674603298,0.51867080571862,0.187784337693501,0.8151105622791532,CEP104
ENSG00000169598.15,-0.350123164920162,-0.47407173759601207,0.63544875179713,0.738544690927188,0.8669262588677474,DFFB
ENSG00000198912.10,0.0732296196734964,0.11073646723755401,0.9118253271307379,0.661296332638127,0.9755510051426005,C1orf174
ENSG00000131697.17,1.42818191976199,1.6829436612371698,0.0923859983098751,0.8486213488050459,0.3822878565288969,NPHP4
ENSG00000069424.14,-0.728357244349801,-1.09586918320223,0.273136026909891,0.6646388597418871,0.6222678521782562,KCNAB2
ENSG00000116251.9,2.4606299265463503,2.11437377180678,0.0344833559918102,1.16376298238116,0.23900756810222423,RPL22
ENSG00000116237.15,1.00060144302382,0.9543155183322841,0.339923955177906,1.04850169970244,0.6834337113532802,ICMT
