gene,beta,t,p,se(beta),p_corr,gene_symbol
ENSG00000188976.10,0.7473265184355808,0.623938218056715,0.532668160025853,1.19775724071394,0.9501992661109692,NOC2L
ENSG00000187961.13,-0.286718877618295,-0.272045071617797,0.785587363609139,1.0539388782646801,0.9919484558407381,KLHL17
ENSG00000131591.17,-0.0723755746091785,-0.0662509540758425,0.9471780303618249,1.0924457710650401,0.995382466522215,C1orf159
ENSG00000186891.13,-0.46438329589358396,-1.3378285039567,0.18095234781346897,0.34711720861092893,0.8523917557818588,TNFRSF18
ENSG00000186827.10,-0.571140282240249,-0.852909805772223,0.39370932345932397,0.669637373582708,0.9329135375944633,TNFRSF4
ENSG00000078808.16,0.95919011856388,0.5143049840813221,0.607038777630806,1.86502201660992,0.9701008144570387,SDF4
ENSG00000162572.20,-2.0156483133849696,-1.8836043143967598,0.0596185178414369,1.0701017713640602,0.6933193260906874,SCNN1D
ENSG00000131584.18,0.29403079140404104,0.28019933367313204,0.779324577854646,1.04936292156584,0.9906627854321814,ACAP3
ENSG00000169972.11,0.995633642973508,0.814147778351169,0.4155602976706839,1.22291513831787,0.9331906576376794,PUSL1
ENSG00000127054.20,0.239454371511772,0.15888962098644802,0.8737558380662149,1.5070485411517,0.995382466522215,INTS11
ENSG00000240731.1,0.23586617423452103,0.15078274061652,0.880147101585402,1.5642783336482098,0.995382466522215,RP5-890O3.9
ENSG00000107404.19,0.336759578813138,0.306894783103151,0.7589234600739581,1.09731281649043,0.986338431245055,DVL1
ENSG00000221978.11,1.2543997554488402,0.9353330174241659,0.34961670473332396,1.34112634973943,0.9286551116145153,CCNL2
ENSG00000224870.6,0.5808766198303721,0.798140062509477,0.42478921502154,0.7277878246131441,0.9331906576376794,RP4-758J18.2
ENSG00000242485.5,1.0410438413645602,0.812800727828957,0.41633231818643396,1.28081066578921,0.9331906576376794,MRPL20
ENSG00000160072.19,-0.6523375216420889,-0.706152446081598,0.4800933395000321,0.923791350241545,0.9401258157732693,ATAD3B
ENSG00000197785.13,0.487313802405853,0.42737630864723,0.669105260458549,1.14024524182995,0.9794213928807831,ATAD3A
ENSG00000160075.11,0.898307687734665,1.04804217492749,0.294619176061912,0.857129330503152,0.8990515619188122,SSU72
ENSG00000197530.12,-0.649166514241625,-0.43554672885058293,0.663165628315875,1.49046352834468,0.9794213928807831,MIB2
ENSG00000248333.8,-0.728455316454013,-0.7145743272031579,0.474872113045875,1.01942553590637,0.9389871098117107,CDK11B
ENSG00000078369.17,-1.01120938104186,-0.372910924460616,0.709214741018197,2.71166467569832,0.9808037487483459,GNB1
ENSG00000162585.16,0.18502726159693803,0.0617080362765325,0.9507953401450041,2.99843055720936,0.995382466522215,FAAP20
ENSG00000157911.9,0.41228373696396703,0.7332806268956551,0.46338728847666905,0.5622455058022889,0.9369722989510738,PEX10
ENSG00000149527.17,-0.36615104048578,-0.29575019939866404,0.7674208575197611,1.2380415676143501,0.9876832643219802,PLCH2
ENSG00000157881.13,-4.44753474203287,-1.4272063785916,0.153520416467789,3.1162520072407403,0.82065390847683,PANK4
ENSG00000157873.17,-0.879359940930346,-0.70937385958825,0.478092505023596,1.2396283413104099,0.9401258157732693,TNFRSF14
ENSG00000157870.14,-0.12155884916346699,-0.10397671295506,0.917187828755844,1.16909686514139,0.995382466522215,FAM213B
ENSG00000227372.11,1.6499657632042,0.923578416109643,0.35570585573970004,1.7864923372227401,0.9299686199898645,TP73-AS1
ENSG00000130764.9,1.4635589218565601,1.5738830121326,0.11551449797636,0.9299032460318941,0.8014552499427621,LRRC47
ENSG00000116198.12,1.6881333808226398,1.4842165056524301,0.137751492323266,1.13739024892502,0.814275427906555,CEP104
ENSG00000169598.15,1.42193095945189,1.00634492080511,0.31424967889144895,1.41296580332942,0.9031438371062785,DFFB
ENSG00000198912.10,2.26059500036851,0.9706720879705121,0.33171159551362395,2.3288966772445097,0.9175304734879663,C1orf174
ENSG00000131697.17,-1.37466816547669,-0.990215491142303,0.32206880234503804,1.3882515248179799,0.9092335464823539,NPHP4
ENSG00000069424.14,-0.8383573446829341,-0.912023451029782,0.36175637269264005,0.919227837547741,0.9305396001775729,KCNAB2
ENSG00000116251.9,0.0854369722681674,0.0677451435360156,0.9459885124865699,1.26115272340882,0.995382466522215,RPL22
ENSG00000116237.15,-0.468757538466841,-0.7239759393139091,0.46908050670441204,0.6474766812154951,0.9381044509973527,ICMT
ENSG00000158292.6,-0.347176075973453,-0.341636568935616,0.732624413260396,1.01621461969102,0.9817370163261606,GPR153
ENSG00000215788.9,0.9736284191190531,1.4266633153086499,0.15367696451717802,0.682451429620181,0.82065390847683,TNFRSF25
ENSG00000162408.10,0.293317328886063,0.424509342620864,0.6711943932730841,0.6909561214251739,0.9794213928807831,NOL9
ENSG00000204859.12,4.28702898250835,1.5275412244888797,0.126626484354723,2.8064898765287296,0.8096455226903345,ZBTB48
ENSG00000116273.5,0.16963125866663198,0.357672703686526,0.7205882628199219,0.474263920389355,0.9817370163261606,PHF13
ENSG00000041988.15,0.191897249093085,0.0826832098703267,0.934103435735227,2.32087323888418,0.995382466522215,THAP3
ENSG00000007923.15,-1.3468285032627902,-0.9860688799211271,0.324099313513553,1.3658564129622701,0.9114503893612006,DNAJC11
ENSG00000171735.18,-1.06193347051523,-0.9697145953665791,0.33218877327254304,1.0950989864330098,0.9175304734879663,CAMTA1
