gene,beta,t,p,se(beta),p_corr,gene_symbol
ENSG00000188976.10,4.1795826974564,0.620153172759649,0.535156947695235,6.739597378591941,0.9488388353568118,NOC2L
ENSG00000187961.13,-0.220976212848504,-0.0327976333536608,0.973835965509145,6.73756580133974,0.9979203899075678,KLHL17
ENSG00000131591.17,1.05701797127192,0.22239771065472302,0.8240042938339159,4.75282757255069,0.9871319199836407,C1orf159
ENSG00000186891.13,-2.3140107574831,-1.15090805341444,0.24977006427183499,2.01059567757654,0.8783879013621348,TNFRSF18
ENSG00000186827.10,-2.4292758233011402,-0.995881118873177,0.31930791022954497,2.43932310520138,0.8944618230766025,TNFRSF4
ENSG00000078808.16,4.5367139720635805,0.6014905863129261,0.547513279895523,7.542452160179519,0.9500094442540996,SDF4
ENSG00000162572.20,-8.505281556901691,-1.68114724262099,0.0927343180134095,5.059212745482981,0.7597848044105696,SCNN1D
ENSG00000131584.18,2.4999424009975697,0.341798543065499,0.7325025060929209,7.31408150127343,0.9812304091676528,ACAP3
ENSG00000169972.11,5.8443764258094095,1.03204896142205,0.302049181587072,5.66288678567779,0.8896771826719574,PUSL1
ENSG00000127054.20,1.93507300871334,0.25151409218220605,0.8014166683146859,7.69369617393643,0.9852035558602336,INTS11
ENSG00000240731.1,-0.734535906421871,-0.0768215407256408,0.938765514353719,9.561587797948249,0.9945892767421565,RP5-890O3.9
ENSG00000107404.19,1.62051187681483,0.252658186239066,0.8005323622129921,6.413850668909251,0.9852035558602336,DVL1
ENSG00000221978.11,7.15442469005175,0.8643473793628851,0.38739709012354,8.27725618295426,0.9140721148518293,CCNL2
ENSG00000224870.6,2.67407381154925,0.858706641742646,0.3905023852242271,3.1140714203893,0.9140721148518293,RP4-758J18.2
ENSG00000242485.5,5.50241132425416,0.784805266719023,0.432567751707365,7.01118042601534,0.9289601987074959,MRPL20
ENSG00000160072.19,-1.1275151758961899,-0.23746055935972898,0.8122995132950731,4.74822083691011,0.9852035558602336,ATAD3B
ENSG00000197785.13,3.77950815945519,0.548369164331449,0.583438445028827,6.89226967031055,0.9545124492640064,ATAD3A
ENSG00000160075.11,4.8110669678266795,0.9531232218102591,0.340527641603593,5.047686235877309,0.9005317879631611,SSU72
ENSG00000197530.12,-5.963677211234269,-0.61274372555944,0.5400458055983189,9.73274300897882,0.9493409984514023,MIB2
ENSG00000248333.8,-4.07695787176611,-0.6119623663408821,0.5405626570450011,6.66210554113572,0.9493409984514023,CDK11B
ENSG00000078369.17,-4.03400626286731,-0.33230412223287203,0.739659627506662,12.1395011165115,0.9826197167399852,GNB1
ENSG00000162585.16,-5.22468648247691,-0.5896061537921441,0.5554547250753199,8.8613160647553,0.9509348637471144,FAAP20
ENSG00000157911.9,1.13223833268294,0.59837547465373,0.549589426466217,1.8921870642143999,0.9500094442540996,PEX10
ENSG00000149527.17,-3.5162848522249504,-0.42696204592682396,0.6694069722568311,8.235591162657121,0.9727712204138371,PLCH2
ENSG00000157881.13,-17.461065390321,-1.1830097401360602,0.236805287236876,14.7598661261342,0.876477725498829,PANK4
ENSG00000157873.17,-9.69948384252798,-1.04300983565604,0.29694373745162295,9.299513303656529,0.8896771826719574,TNFRSF14
ENSG00000157870.14,-6.74343064393279,-0.712399708398193,0.47621729606222396,9.4657964685235,0.9374081093578647,FAM213B
ENSG00000227372.11,6.75237576648379,0.997953865943946,0.318301729992481,6.766220360393961,0.8944618230766025,TP73-AS1
ENSG00000130764.9,4.97648078660855,1.20018841967224,0.23006617177034303,4.14641626684548,0.876477725498829,LRRC47
ENSG00000116198.12,7.14734106863601,1.13116336931944,0.257986336452446,6.31857542640916,0.878921403068008,CEP104
ENSG00000169598.15,6.212340274401949,1.16528633375303,0.243903109098201,5.33117062687409,0.876477725498829,DFFB
ENSG00000198912.10,10.007617347566699,0.8152695645583241,0.41491802621546203,12.2752250085386,0.920719437754874,C1orf174
ENSG00000131697.17,-3.12749427687219,-0.7031786842890451,0.48194440131901795,4.44765227779092,0.9401188500354538,NPHP4
ENSG00000069424.14,-4.6970345571325804,-0.621957762131505,0.533969641917132,7.55201533466745,0.9488388353568118,KCNAB2
ENSG00000116251.9,2.45626865252157,0.42930330865853006,0.667702509301519,5.72152276253547,0.9726741923712735,RPL22
ENSG00000116237.15,-2.3120801851409705,-0.851817113943948,0.394315606170865,2.7142917737775294,0.9157936728677354,ICMT
ENSG00000158292.6,-2.29740753185765,-0.34494168668332803,0.7301382102952578,6.66027801379303,0.9812304091676528,GPR153
ENSG00000215788.9,5.72343828041632,1.4195890739932502,0.155727348133459,4.03175706637169,0.8413204811622743,TNFRSF25
ENSG00000162408.10,0.262157055737966,0.0914599568554986,0.927127122636246,2.86635883889776,0.9945892767421565,NOL9
ENSG00000204859.12,23.0487989701425,1.4092649185998798,0.15875684804635598,16.3551924595141,0.8417847745982298,ZBTB48
ENSG00000116273.5,1.04945830143749,0.28934396229909604,0.7723181732705929,3.62702678534782,0.9852035558602336,PHF13
ENSG00000041988.15,0.15451767327738,0.0153381960387701,0.9877623700299759,10.0740447499046,0.9994822053436427,THAP3
ENSG00000007923.15,-4.1482763766297,-0.8091039102544871,0.41845537927098103,5.127000777100361,0.9222995735161607,DNAJC11
ENSG00000171735.18,-2.28863888936696,-0.938938130637615,0.34776251052218804,2.43747571292348,0.902904536749031,CAMTA1
ENSG00000049245.12,4.16143812869529,0.342957723568342,0.7316302650804091,12.133968249489,0.9812304091676528,VAMP3
ENSG00000116288.12,0.28032744096259604,0.0922553423532936,0.9264951686358359,3.0386038771508397,0.9945892767421565,PARK7
ENSG00000171603.16,2.75793340260227,0.7129094177954342,0.475901811063615,3.8685607648875897,0.9374081093578647,CLSTN1
ENSG00000178585.14,-2.2977270925418396,-0.60017224682518,0.548391447672529,3.8284460914287,0.9500094442540996,CTNNBIP1
ENSG00000160049.11,-2.495264926123,-0.9098824251066651,0.36288451928753895,2.7424036966429903,0.902904536749031,DFFA
