Disease,Ensembl Gene ID,Gene,Chromosome,Start Position,Stop Position,AE TWAS,Standard TWAS,DisGeNet GDA Score
RA,ENSG00000204525.16,HLA-C,6,31268749,31272105, NA,2.64E-02,0.2
RA,ENSG00000234745.10,HLA-B,6,31269491,31356442, NA,7.79E-05,0.2
RA,ENSG00000204209.11,DAXX,6,33318558,33329286,3.76E-02, NA,0.11
RA,ENSG00000204264.8,PSMB8,6,32840717,32844047, NA,2.07E-02,0.11
RA,ENSG00000204390.9,HSPA1L,6,31809619,31815065,2.81E-03, NA,0.11
RA,ENSG00000213654.9,GPSM3,6,32190766,32194829,2.84E-03, NA,0.11
RA,ENSG00000137310.11,TCF19,6,31158542,31164215, NA,2.12E-06,0.1
RA,ENSG00000137337.14,MDC1,6,30699807,30717889,1.43E-05,4.04E-05,0.1
RA,ENSG00000137343.17,ATAT1,6,30626842,30646823,3.77E-05,1.90E-03,0.1
RA,ENSG00000204304.11,PBX2,6,32184836,32190186, NA,2.32E-03,0.1
RA,ENSG00000204308.7,RNF5,6,32178354,32180793,2.92E-04,3.07E-04,0.1
RA,ENSG00000204310.12,AGPAT1,6,32168282,32178096, NA,1.71E-02,0.1
RA,ENSG00000204344.14,STK19,6,31971166,31981451, NA,1.24E-05,0.1
RA,ENSG00000204351.11,SKIV2L,6,31959111,31969755, NA,1.73E-02,0.1
RA,ENSG00000204435.13,CSNK2B,6,31665391,31670070,3.51E-02,2.34E-05,0.1
RA,ENSG00000204439.3,C6orf47,6,31658298,31660772,3.76E-03, NA,0.1
RA,ENSG00000204536.13,CCHCR1,6,31142439,31158238, NA,1.51E-02,0.1
RA,ENSG00000204569.9,PPP1R10,6,30600400,30618612,3.27E-02, NA,0.1
RA,ENSG00000204574.12,ABCF1,6,30571376,30597179,2.71E-02,1.79E-02,0.1
RA,ENSG00000204590.12,GNL1,6,30541377,30556885,8.17E-05,1.63E-05,0.1
RA,ENSG00000213719.8,CLIC1,6,31730618,31739763, NA,2.07E-02,0.1
RA,ENSG00000231925.11,TAPBP,6,33299694,33314387,2.22E-08, NA,0.1
RA,ENSG00000168394.10,TAP1,6,32845209,32853978, NA,1.90E-06,0.04
RA,ENSG00000172243.17,CLEC7A,12,10116777,10130258,2.74E-02, NA,0.02
RA,ENSG00000104998.3,IL27RA,19,14031748,14053216,1.38E-03,1.10E-03,0.01
RA,ENSG00000204256.12,BRD2,6,32968660,32981505,1.01E-05,1.65E-03,0.01
RA,ENSG00000204386.10,NEU1,6,31859052,31862906, NA,1.81E-05,0.01
RA,ENSG00000213722.8,DDAH2,6,31727038,31730580,1.91E-03, NA,0.01
RA,ENSG00000037757.13,MRI1,19,13764532,13774167,2.84E-02, NA,NA
RA,ENSG00000072062.13,PRKACA,19,14091688,14118084,2.47E-02,1.74E-02,NA
RA,ENSG00000095059.15,DHPS,19,12675833,12681902,6.97E-03,2.04E-02,NA
RA,ENSG00000099795.6,NDUFB7,19,14566078,14572062,2.44E-02,1.50E-02,NA
RA,ENSG00000104774.12,MAN2B1,19,12646513,12666742, NA,1.51E-02,NA
RA,ENSG00000104889.5,RNASEH2A,19,12802063,12813637,2.71E-02, NA,NA
RA,ENSG00000104907.12,TRMT1,19,13104902,13117567,2.04E-02,2.80E-02,NA
RA,ENSG00000104957.13,CCDC130,19,13731760,13763296,6.97E-03,1.01E-02,NA
RA,ENSG00000105576.15,TNPO2,19,12699194,12724011,2.74E-02,6.48E-03,NA
RA,ENSG00000105607.12,GCDH,19,12891026,12914207,2.84E-02,2.64E-02,NA
RA,ENSG00000112514.15,CUTA,6,33416454,33418317,3.56E-06,1.19E-05,NA
RA,ENSG00000132017.10,DCAF15,19,13952492,13961449,2.24E-02,2.64E-02,NA
RA,ENSG00000136111.12,TBC1D4,13,75284665,75482114,2.71E-02,4.57E-02,NA
RA,ENSG00000157933.9,SKI,1,2228695,2310119, NA,2.07E-02,NA
RA,ENSG00000175216.14,CKAP5,11,46743048,46846308,4.68E-02, NA,NA
RA,ENSG00000196230.12,TUBB,6,30720201,30725426,6.01E-04, NA,NA
RA,ENSG00000204220.11,PFDN6,6,33289528,33298401,4.60E-10,1.03E-08,NA
RA,ENSG00000204227.4,RING1,6,33208495,33212722,2.71E-02,1.15E-02,NA
RA,ENSG00000204564.11,C6orf136,6,30647039,30653118,3.75E-03,1.90E-03,NA
RA,ENSG00000204568.11,MRPS18B,6,30617709,30626395,2.71E-02,1.15E-02,NA
RA,ENSG00000204576.11,PRR3,6,30557175,30563723,4.13E-03,1.29E-03,NA
RA,ENSG00000227057.9,WDR46,6,33279108,33289301,1.81E-03,3.84E-03,NA
RA,ENSG00000235863.3,B3GALT4,6,33277132,33284832,5.78E-09, NA,NA
RA,ENSG00000237441.9,RGL2,6,33291654,33299324,2.67E-13, NA,NA
RA,ENSG00000237649.7,KIFC1,6,33391536,33409924,3.98E-02, NA,NA
RA,ENSG00000267680.5,ZNF224,19,44094339,44109886,3.76E-02, NA,NA
