Disease,Ensembl Gene ID,Gene,Chromosome,Start Position,Stop Position,AE TWAS,Standard TWAS,DisGeNet GDA Score
CD,ENSG00000083799.17,CYLD,16,50742050,50801935,7.68E-03, NA,0.13
CD,ENSG00000167208.14,SNX20,16,50671640,50681353,1.09E-04, NA,0.11
CD,ENSG00000164062.12,APEH,3,49674002,49683946,1.71E-02,1.29E-02,0.1
CD,ENSG00000068028.17,RASSF1,3,50329782,50340936, NA,4.95E-02,0.02
CD,ENSG00000081985.10,IL12RB2,1,67307364,67396900,1.25E-02, NA,0.01
CD,ENSG00000155393.12,HEATR3,16,50065941,50106387,1.55E-06, NA,0.01
CD,ENSG00000213341.10,CHUK,10,100188335,100229619, NA,3.11E-02,0.01
CD,ENSG00000111245.14,MYL2,12,110910819,110920577, NA,4.75E-02,NA
CD,ENSG00000114353.16,GNAI2,3,50226292,50259355,1.71E-02,1.10E-02,NA
CD,ENSG00000114388.12,NPRL2,3,50347488,50350694,1.54E-02,3.91E-02,NA
CD,ENSG00000114395.10,CYB561D2,3,50351092,50358212,4.82E-02, NA,NA
CD,ENSG00000121274.12,PAPD5,16,50152918,50235310,1.46E-04,3.09E-03,NA
CD,ENSG00000125457.13,MIF4GD,17,75266374,75271227, NA,3.11E-02,NA
CD,ENSG00000142864.14,SERBP1,1,67407810,67430415, NA,1.29E-02,NA
CD,ENSG00000164053.19,ATRIP,3,48446710,48465716,3.28E-02,1.38E-02,NA
CD,ENSG00000172053.17,QARS,3,49095932,49105135,3.79E-02,3.19E-02,NA
CD,ENSG00000173540.12,GMPPB,3,49719696,49723951,1.71E-02,1.29E-02,NA
CD,ENSG00000177479.19,ARIH2,3,48921480,48986382,1.93E-03,4.44E-03,NA
CD,ENSG00000177728.16,TMEM94,17,75441159,75500082,2.38E-02,3.91E-02,NA
CD,ENSG00000178035.11,IMPDH2,3,49024325,49029315,3.88E-03,1.10E-02,NA
CD,ENSG00000178252.17,WDR6,3,49007155,49015803,1.25E-02,1.29E-02,NA
