Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Rheumatoid Arthritis,C0003873,PTPN22,26191,Q9Y2R2,protein tyrosine phosphatase non-receptor type 22,,400,0.438,0.846,3.49E-21,0.7,,0.899,158,7,2004,2019
Rheumatoid Arthritis,C0003873,SLC22A4,6583,Q9H015,solute carrier family 22 member 4,Transporter,90,0.603,0.769,1.83E-08,0.7,,0.857,21,3,2003,2019
Rheumatoid Arthritis,C0003873,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.7,,0.975,1014,8,1989,2020
Rheumatoid Arthritis,C0003873,CRP,1401,P02741,C-reactive protein,,1483,0.299,0.962,0.0036969,0.6,,0.955,199,1,1989,2020
Rheumatoid Arthritis,C0003873,IL6ST,3572,P40189,interleukin 6 signal transducer,Signaling,260,0.475,0.808,0.99978,0.59,,0.909,11,1,2000,2020
Rheumatoid Arthritis,C0003873,CCR6,1235,P51684,C-C motif chemokine receptor 6,G-protein coupled receptor,231,0.485,0.808,0.0057867,0.5,,1,27,8,2001,2019
Rheumatoid Arthritis,C0003873,FCGR2A,2212,P12318,Fc fragment of IgG receptor IIa,Cell adhesion,227,0.48,0.769,2.01E-06,0.5,,0.852,27,3,2002,2020
Rheumatoid Arthritis,C0003873,PADI4,23569,Q9UM07,peptidyl arginine deiminase 4,,196,0.494,0.808,4.60E-16,0.5,,0.912,125,10,2003,2020
Rheumatoid Arthritis,C0003873,HLA-DPB1,3115,P04440,"major histocompatibility complex, class II, DP beta 1",Immune response,324,0.453,0.923,5.33E-10,0.5,,0.938,32,62,1988,2020
Rheumatoid Arthritis,C0003873,HLA-DRB1,3123,P01911,"major histocompatibility complex, class II, DR beta 1",Immune response,1018,0.333,0.923,0.0010997,0.5,,0.936,575,7,1989,2020
Rheumatoid Arthritis,C0003873,IL2RA,3559,P01589,interleukin 2 receptor subunit alpha,Receptor,540,0.389,0.885,0.054709,0.5,,1,32,3,1992,2019
Rheumatoid Arthritis,C0003873,IL6R,3570,P08887,interleukin 6 receptor,Signaling,261,0.471,0.846,0.000031681,0.5,,0.971,34,5,2001,2019
Rheumatoid Arthritis,C0003873,IL10,3586,P22301,interleukin 10,,1679,0.281,0.923,0.0058874,0.5,,0.946,129,3,1994,2020
