Disease,Ensembl Gene ID,Gene,Chromosome,Start Position,Stop Position,AE TWAS,Standard TWAS,DisGeNet GDA Score
SCZ,ENSG00000099381.17,SETD1A,16,30957294,30984629, NA,2.99E-02,0.65
SCZ,ENSG00000082701.14,GSK3B,3,119821323,120094417,3.09E-02, NA,0.6
SCZ,ENSG00000171045.14,TSNARE1,8,142212080,142403240, NA,3.25E-02,0.44
SCZ,ENSG00000054282.15,SDCCAG8,1,243256034,243489140,6.16E-03, NA,0.41
SCZ,ENSG00000075624.13,ACTB,7,5527151,5563784,4.12E-02, NA,0.39
SCZ,ENSG00000204525.16,HLA-C,6,31268749,31272105,2.94E-02, NA,0.38
SCZ,ENSG00000116478.11,HDAC1,1,32292086,32333635,2.25E-02,4.12E-02,0.36
SCZ,ENSG00000070413.19,DGCR2,22,19036282,19122454, NA,8.83E-06,0.35
SCZ,ENSG00000226979.8,LTA,6,31572054,31574324,4.08E-02, NA,0.35
SCZ,ENSG00000158828.7,PINK1,1,20633455,20645723, NA,2.50E-02,0.34
SCZ,ENSG00000118058.20,KMT2A,11,118436490,118526832,4.12E-02,3.56E-02,0.33
SCZ,ENSG00000073150.13,PANX2,22,50170731,50180294,4.95E-02, NA,0.32
SCZ,ENSG00000113749.7,HRH2,5,175658030,175710756, NA,9.81E-03,0.32
SCZ,ENSG00000156642.16,NPTN,15,73560015,73634134,3.05E-02, NA,0.32
SCZ,ENSG00000177885.13,GRB2,17,75318076,75405709,4.95E-02, NA,0.32
SCZ,ENSG00000204516.9,MICB,6,31494881,31511124, NA,2.51E-02,0.32
SCZ,ENSG00000034053.14,APBA2,15,28884483,29118315,7.64E-03,3.73E-02,0.31
SCZ,ENSG00000107317.12,PTGDS,9,136975092,136981742,1.79E-02,3.12E-04,0.31
SCZ,ENSG00000128731.15,HERC2,15,28111040,28322152,9.63E-03,3.17E-02,0.31
SCZ,ENSG00000168394.10,TAP1,6,32845209,32853978, NA,4.40E-02,0.31
SCZ,ENSG00000196262.13,PPIA,7,44796680,44824564,3.35E-03,2.68E-03,0.31
SCZ,ENSG00000078808.16,SDF4,1,1216908,1232031,2.34E-02,3.08E-02,0.3
SCZ,ENSG00000139697.13,SBNO1,12,123289109,123350441,7.31E-04, NA,0.3
SCZ,ENSG00000164924.17,YWHAZ,8,100916525,100953388,6.97E-03,2.51E-03,0.28
SCZ,ENSG00000129691.15,ASH2L,8,38105242,38140080,2.43E-02, NA,0.2
SCZ,ENSG00000114416.17,FXR1,3,180868141,180982753,5.29E-03,2.15E-03,0.11
SCZ,ENSG00000109320.11,NFKB1,4,102501329,102617302,7.07E-03,1.32E-04,0.1
SCZ,ENSG00000115520.8,COQ10B,2,197453423,197475308, NA,4.78E-02,0.1
SCZ,ENSG00000125107.17,CNOT1,16,58521183,58629886,1.27E-02, NA,0.1
SCZ,ENSG00000137185.11,ZSCAN9,6,28224886,28233482,8.47E-05,4.08E-04,0.1
SCZ,ENSG00000137343.17,ATAT1,6,30626842,30646823, NA,3.53E-02,0.1
SCZ,ENSG00000145703.15,IQGAP2,5,76403249,76708132,2.89E-02,3.93E-02,0.1
SCZ,ENSG00000163935.13,SFMBT1,3,52903572,53046068, NA,3.95E-02,0.1
SCZ,ENSG00000171988.18,JMJD1C,10,63167221,63521850,9.57E-03,4.45E-02,0.1
SCZ,ENSG00000175324.9,LSM1,8,38163773,38176532,1.45E-02, NA,0.1
SCZ,ENSG00000204386.10,NEU1,6,31859052,31862906,7.64E-03,2.68E-03,0.1
SCZ,ENSG00000234127.8,TRIM26,6,30184455,30213427,4.75E-02,2.53E-02,0.1
SCZ,ENSG00000247596.8,TWF2,3,52228610,52239257,3.69E-02, NA,0.1
SCZ,ENSG00000096060.14,FKBP5,6,35573585,35728583, NA,1.22E-02,0.05
SCZ,ENSG00000088179.8,PTPN4,2,119759631,119983818,2.94E-02,2.53E-02,0.04
SCZ,ENSG00000181104.6,F2R,5,76716043,76735781,2.11E-02,2.81E-03,0.04
SCZ,ENSG00000120451.10,SNX19,11,130875436,130916509, NA,1.86E-02,0.03
SCZ,ENSG00000026025.15,VIM,10,17228259,17237593,2.99E-02, NA,0.02
SCZ,ENSG00000204435.13,CSNK2B,6,31665391,31670070,4.31E-02, NA,0.02
SCZ,ENSG00000071127.16,WDR1,4,10074339,10116949,1.85E-02, NA,0.01
SCZ,ENSG00000086598.10,TMED2,12,123585562,123598577,9.55E-03, NA,0.01
SCZ,ENSG00000103197.16,TSC2,16,2047867,2088709,3.20E-02, NA,0.01
SCZ,ENSG00000103549.21,RNF40,16,30763118,30776307,9.55E-03,4.13E-04,0.01
SCZ,ENSG00000124164.15,VAPB,20,58389122,58451101, NA,2.12E-06,0.01
SCZ,ENSG00000136521.12,NDUFB5,3,179604702,179627647,1.81E-02,3.82E-02,0.01
SCZ,ENSG00000137411.16,VARS2,6,30914205,30926459,1.97E-04,1.69E-03,0.01
